Plate	Well	GeneID	Entrez_gene_ID	sub_lib	Condition_ID
1	E08	MAP4K4	9448	KIN	40998304
1	E09	PRKCN	23683	KIN	40998305
1	E10	TTBK1	84630	KIN	40998306
1	E11	ROCK1	6093	KIN	40998307
1	E12	siCON2			40998308
1	F01	TNKS		KIN	40998309
1	F02	TEK	7010	KIN	40998310
1	F03	PANK1	53354	KIN	40998311
1	F04	CSNK1G3	1456	KIN	40998312
1	F05	CKS2	1164	KIN	40998313
1	F06	PHKG2	5261	KIN	40998314
1	F07	MAPK7	5598	KIN	40998315
1	F08	KCNH8	131096	KIN	40998316
1	F09	CAMK2D	817	KIN	40998317
1	F10	MAP4K5	11183	KIN	40998318
1	F11	PKN3	29941	KIN	40998319
1	F12	allSTAR			40998320
1	G01	siCON1			40998321
1	G02	ATM	472	KIN	40998322
1	G03	PHKA2	5256	KIN	40998323
1	G04	MULK	55750	KIN	40998324
1	G05	GRK6	2870	KIN	40998325
1	G06	BMPR1B	658	KIN	40998326
1	G07	STK33	65975	KIN	40998327
1	G08	MIDORI	57538	KIN	40998328
1	G09	RNASEL	6041	KIN	40998329
1	G10	STK16	8576	KIN	40998330
1	G11	GRK1	6011	KIN	40998331
1	G12	PLK1	5347	KIN	40998332
1	H01	siCON2			40998333
1	H02	RFP	5987	KIN	40998334
1	H03	PIP5KL1	138429	KIN	40998335
1	H04	NEK5	341676	KIN	40998336
1	H05	PLK2	10769	KIN	40998337
1	H06	CSNK1G2	1455	KIN	40998338
1	H07	MARK2	2011	KIN	40998339
1	H08	TNIK	23043	KIN	40998340
1	H09	CALM3	808	KIN	40998341
1	H10	PKM2	5315	KIN	40998342
1	H11	CDKL5	6792	KIN	40998343
1	H12	MOCK			40998344
2	A01	MOCK			40998345
2	A02	PIK3CA	5290	KIN	40998346
2	A03	KIAA1804	84451	KIN	40998347
2	A04	NAGK	55577	KIN	40998348
2	A05	IRAK1	3654	KIN	40998349
2	A06	EEF2K	29904	KIN	40998350
2	A07	ANKK1	255239	KIN	40998351
2	A08	MAP3K5	4217	KIN	40998352
2	A09	PRKAA1	5562	KIN	40998353
2	A10	RPS6KA4	8986	KIN	40998354
2	A11	CALM1	801	KIN	40998355
2	A12	allSTAR			40998356
2	B01	siCON1			40998357
2	B02	FLJ32685	152110	KIN	40998358
2	B03	ITPKC	80271	KIN	40998359
2	B04	EPHA5	2044	KIN	40998360
2	B05	MLCK	91807	KIN	40998361
2	B06	PSKH1	5681	KIN	40998362
2	B07	AURKC	6795	KIN	40998363
2	B08	PRKCE	5581	KIN	40998364
2	B09	AK1	203	KIN	40998365
2	B10	TRPM6	140803	KIN	40998366
2	B11	CLK1	1195	KIN	40998367
2	B12	PLK1	5347	KIN	40998368
2	C01	siCON2			40998369
2	C02	PAPSS2	9060	KIN	40998370
2	C03	RPS6KB2	6199	KIN	40998371
2	C04	PFTK1	5218	KIN	40998372
2	C05	NME5	8382	KIN	40998373
2	C06	SRC	6714	KIN	40998374
2	C07	NEK4	6787	KIN	40998375
2	C08	CSNK1G1	53944	KIN	40998376
2	C09	RIOK1	83732	KIN	40998377
2	C10	AKT1	207	KIN	40998378
2	C11	SNRK	54861	KIN	40998379
2	C12	MOCK			40998380
2	D01	allSTAR			40998381
2	D02	KIAA1811	84446	KIN	40998382
2	D03	PDK2	5164	KIN	40998383
2	D04	MYLK2	85366	KIN	40998384
2	D05	NEK11	79858	KIN	40998385
2	D06	KIAA1361	57551	KIN	40998386
2	D07	SNF1LK	150094	KIN	40998387
2	D08	PTK9	5756	KIN	40998388
2	D09	LATS1	9113	KIN	40998389
2	D10	PFKP	5214	KIN	40998390
2	D11	PRKG1	5592	KIN	40998391
2	D12	siCON1			40998392
2	E01	PLK1	5347	KIN	40998393
2	E02	RIOK2	55781	KIN	40998394
2	E03	FRAP1	2475	KIN	40998395
2	E04	PDGFRL	5157	KIN	40998396
2	E05	AK7	122481	KIN	40998397
2	E06	EPHA10	284656	KIN	40998398
2	E07	STK17B	9262	KIN	40998399
2	E08	NPR2	4882	KIN	40998400
2	E09	GOLGA5	9950	KIN	40998401
2	E10	STK24	8428	KIN	40998402
2	E11	DGKB	1607	KIN	40998403
2	E12	siCON2			40998404
2	F01	TNKS			40998405
2	F02	STK25	10494	KIN	40998406
2	F03	CDC7	8317	KIN	40998407
2	F04	CAMK2G	818	KIN	40998408
2	F05	URKL1	54963	KIN	40998409
2	F06	MAP3K9	4293	KIN	40998410
2	F07	GUCY2D	3000	KIN	40998411
2	F08	CAMKK2	10645	KIN	40998412
2	F09	KIAA1639	57729	KIN	40998413
2	F10	CAMKIINALPHA	55450	KIN	40998414
2	F11	KIT	3815	KIN	40998415
2	F12	allSTAR			40998416
2	G01	siCON1			40998417
2	G02	PRKCL1	5585	KIN	40998418
2	G03	RIPK2	8767	KIN	40998419
2	G04	CKMT1B	1159	KIN	40998420
2	G05	MKNK2	2872	KIN	40998421
2	G06	TNNI3K	51086	KIN	40998422
2	G07	ALS2CR7	65061	KIN	40998423
2	G08	HCK	3055	KIN	40998424
2	G09	CKS1B	1163	KIN	40998425
2	G10	BMP2K	55589	KIN	40998426
2	G11	PHKB	5257	KIN	40998427
2	G12	PLK1	5347	KIN	40998428
2	H01	siCON2			40998429
2	H02	TRIO	7204	KIN	40998430
2	H03	ETNK1	55500	KIN	40998431
2	H04	ERK8	225689	KIN	40998432
2	H05	ADP-GK	83440	KIN	40998433
2	H06	PIK3CG	5294	KIN	40998434
2	H07	FGFR3	2261	KIN	40998435
2	H08	IRAK4	51135	KIN	40998436
2	H09	PCTK3	5129	KIN	40998437
2	H10	SGK2	10110	KIN	40998438
2	H11	DYRK4	8798	KIN	40998439
2	H12	MOCK			40998440
3	A01	MOCK			40998441
3	A02	MAP3K2	10746	KIN	40998442
3	A03	LATS2	26524	KIN	40998443
3	A04	P101-PI3K	23533	KIN	40998444
3	A05	DGKG	1608	KIN	40998445
3	A06	MAST3	23031	KIN	40998446
3	A07	EFNA3	1944	KIN	40998447
3	A08	BCKDK	10295	KIN	40998448
3	A09	ITPKA	3706	KIN	40998449
3	A10	NEK6	10783	KIN	40998450
3	A11	BLK	640	KIN	40998451
3	A12	allSTAR			40998452
3	B01	siCON1			40998453
3	B02	DGKK	139189	KIN	40998454
3	B03	MPP2	4355	KIN	40998455
3	B04	BUB1	699	KIN	40998456
3	B05	UHMK1	127933	KIN	40998457
3	B06	PRKCM	5587	KIN	40998458
3	B07	PIK4CB	5298	KIN	40998459
3	B08	DLG4	1742	KIN	40998460
3	B09	BTK	695	KIN	40998461
3	B10	MAP3K15	389840	KIN	40998462
3	B11	GSK3A	2931	KIN	40998463
3	B12	PLK1	5347	KIN	40998464
3	C01	siCON2			40998465
3	C02	CSNK1E	1454	KIN	40998466
3	C03	RELA	5970	KIN	40998467
3	C04	CCRK	23552	KIN	40998468
3	C05	MAPK9	5601	KIN	40998469
3	C06	TNK2	10188	KIN	40998470
3	C07	PDIK1L	149420	KIN	40998471
3	C08	AXL	558	KIN	40998472
3	C09	ANKRD3	54101	KIN	40998473
3	C10	RIPK1	8737	KIN	40998474
3	C11	CDC42BPB	9578	KIN	40998475
3	C12	MOCK			40998476
3	D01	allSTAR			40998477
3	D02	JAK3	3718	KIN	40998478
3	D03	STK22D	83942	KIN	40998479
3	D04	FGFR1	2260	KIN	40998480
3	D05	PNKP	11284	KIN	40998481
3	D06	ERBB2	2064	KIN	40998482
3	D07	PRKAG1	5571	KIN	40998483
3	D08	FLJ10761	55224	KIN	40998484
3	D09	IGF1R	3480	KIN	40998485
3	D10	NEK9	91754	KIN	40998486
3	D11	FLJ23356	84197	KIN	40998487
3	D12	siCON1			40998488
3	E01	PLK1	5347	KIN	40998489
3	E02	FLT3	2322	KIN	40998490
3	E03	PIP5K2A	5305	KIN	40998491
3	E04	DAPK1	1612	KIN	40998492
3	E05	FASTK	10922	KIN	40998493
3	E06	PRKG2	5593	KIN	40998494
3	E07	MPP1	4354	KIN	40998495
3	E08	HSPB8	26353	KIN	40998496
3	E09	CSF1R	1436	KIN	40998497
3	E10	DYRK2	8445	KIN	40998498
3	E11	PRKCL2	5586	KIN	40998499
3	E12	siCON2			40998500
3	F01	MOCK			40998501
3	F02	RPS6KA3	6197	KIN	40998502
3	F03	EFNA4	1945	KIN	40998503
3	F04	ADCK1	57143	KIN	40998504
3	F05	MAP3K8	1326	KIN	40998505
3	F06	CDK8	1024	KIN	40998506
3	F07	MKNK1	8569	KIN	40998507
3	F08	PIK3C2G	5288	KIN	40998508
3	F09	CDK4	1019	KIN	40998509
3	F10	PIM1	5292	KIN	40998510
3	F11	DGKQ	1609	KIN	40998511
3	F12	allSTAR			40998512
3	G01	siCON1			40998513
3	G02	MAP3K12	7786	KIN	40998514
3	G03	STK22C	81629	KIN	40998515
3	G04	PI4KII	55361	KIN	40998516
3	G05	TAF1L	138474	KIN	40998517
3	G06	CAMK1G	57172	KIN	40998518
3	G07	HSMDPKIN	55561	KIN	40998519
3	G08	STK10	6793	KIN	40998520
3	G09	AIP1	9863	KIN	40998521
3	G10	ABL1	25	KIN	40998522
3	G11	PAK6	56924	KIN	40998523
3	G12	PLK1	5347	KIN	40998524
3	H01	siCON2			40998525
3	H02	FN3KRP	79672	KIN	40998526
3	H03	AKT2	208	KIN	40998527
3	H04	KIAA0999	23387	KIN	40998528
3	H05	PLK4	10733	KIN	40998529
3	H06	HIPK3	10114	KIN	40998530
3	H07	TYRO3	7301	KIN	40998531
3	H08	MAPK3	5595	KIN	40998532
3	H09	YES1	7525	KIN	40998533
3	H10	NYD-SP25	89882	KIN	40998534
3	H11	CDADC1	81602	KIN	40998535
3	H12	MOCK			40998536
4	A01	MOCK			40998537
4	A02	STK31	56164	KIN	40998538
4	A03	AKT3	10000	KIN	40998539
4	A04	NLK	51701	KIN	40998540
4	A05	PFKFB3	5209	KIN	40998541
4	A06	TESK2	10420	KIN	40998542
4	A07	EPHA7	2045	KIN	40998543
4	A08	STK35	140901	KIN	40998544
4	A09	STK11	6794	KIN	40998545
4	A10	JAK2	3717	KIN	40998546
4	A11	BRD2	6046	KIN	40998547
4	A12	allSTAR			40998548
4	B01	siCON1			40998549
4	B02	CDKN2C	1031	KIN	40998550
4	B03	MAP2K3	5606	KIN	40998551
4	B04	LCK	3932	KIN	40998552
4	B05	CIB2	10518	KIN	40998553
4	B06	AAK1	22848	KIN	40998554
4	B07	PIK3R2	5296	KIN	40998555
4	B08	IRAK2	3656	KIN	40998556
4	B09	ACVR1C	130399	KIN	40998557
4	B10	ACVR1B	91	KIN	40998558
4	B11	CPNE3	8895	KIN	40998559
4	B12	PLK1	5347	KIN	40998560
4	C01	siCON2			40998561
4	C02	CAMK1	8536	KIN	40998562
4	C03	MARK3	4140	KIN	40998563
4	C04	MGC42105	167359	KIN	40998564
4	C05	CHEK1	1111	KIN	40998565
4	C06	SCAP1	8631	KIN	40998566
4	C07	CDC2L2	728642	KIN	40998567
4	C08	STK3	6788	KIN	40998568
4	C09	FLT4	2324	KIN	40998569
4	C10	CDC2L1	984	KIN	40998570
4	C11	MAP2K7	5609	KIN	40998571
4	C12	MOCK			40998572
4	D01	allSTAR			40998573
4	D02	EPHB6	2051	KIN	40998574
4	D03	MARK1	4139	KIN	40998575
4	D04	PRKAR2A	5576	KIN	40998576
4	D05	PINK1	65018	KIN	40998577
4	D06	MUSK	4593	KIN	40998578
4	D07	ULK2	9706	KIN	40998579
4	D08	MGC8407	79012	KIN	40998580
4	D09	AURKA	6790	KIN	40998581
4	D10	PAK4	10298	KIN	40998582
4	D11	MAPK1	5594	KIN	40998583
4	D12	siCON1			40998584
4	E01	PLK1	5347	KIN	40998585
4	E02	MAST4	375449	KIN	40998586
4	E03	CKMT2	1160	KIN	40998587
4	E04	PIK3R3	8503	KIN	40998588
4	E05	ACVR2	92	KIN	40998589
4	E06	PRKWNK3	65267	KIN	40998590
4	E07	PRKCZ	5590	KIN	40998591
4	E08	ITK	3702	KIN	40998592
4	E09	CAMKK1	84254	KIN	40998593
4	E10	STK36	27148	KIN	40998594
4	E11	MAPK8	5599	KIN	40998595
4	E12	siCON2			40998596
4	F01	MOCK			40998597
4	F02	TGFBR1	7046	KIN	40998598
4	F03	CDK5R2	8941	KIN	40998599
4	F04	LOC91461	91461	KIN	40998600
4	F05	DKFZP761P0423	157285	KIN	40998601
4	F06	DUSTYPK	25778	KIN	40998602
4	F07	FLJ23356	84197	KIN	40998603
4	F08	PDK3	5165	KIN	40998604
4	F09	DGKA	1606	KIN	40998605
4	F10	C9ORF12	64768	KIN	40998606
4	F11	PTK6	5753	KIN	40998607
4	F12	allSTAR			40998608
4	G01	siCON1			40998609
4	G02	PAK1	5058	KIN	40998610
4	G03	RYK	6259	KIN	40998611
4	G04	PDXK	8566	KIN	40998612
4	G05	NEK8	284086	KIN	40998613
4	G06	GK	2710	KIN	40998614
4	G07	KSR2	283455	KIN	40998615
4	G08	PRKAR1A	5573	KIN	40998616
4	G09	NUP62	23636	KIN	40998617
4	G10	ROR2	4920	KIN	40998618
4	G11	PIP5K2C	79837	KIN	40998619
4	G12	PLK1	5347	KIN	40998620
4	H01	siCON2			40998621
4	H02	ACVR1	90	KIN	40998622
4	H03	PRKACB	5567	KIN	40998623
4	H04	STK39	27347	KIN	40998624
4	H05	MATK	4145	KIN	40998625
4	H06	RPS6KB1	6198	KIN	40998626
4	H07	RFK	55312	KIN	40998627
4	H08	TTBK2	146057	KIN	40998628
4	H09	CDC42BPA	8476	KIN	40998629
4	H10	GSG2	83903	KIN	40998630
4	H11	HIPK1	204851	KIN	40998631
4	H12	MOCK			40998632
5	A01	MOCK			40998633
5	A02	MAP3K11	4296	KIN	40998634
5	A03	AURKB	9212	KIN	40998635
5	A04	LIMK2	3985	KIN	40998636
5	A05	GRK4	2868	KIN	40998637
5	A06	LOC340156	340156	KIN	40998638
5	A07	PRKX	5613	KIN	40998639
5	A08	GNE	10020	KIN	40998640
5	A09	PRKAR1B	5575	KIN	40998641
5	A10	MVK	4598	KIN	40998642
5	A11	PKIB	5570	KIN	40998643
5	A12	allSTAR			40998644
5	B01	siCON1			40998645
5	B02	CDK5	1020	KIN	40998646
5	B03	ADCK4	79934	KIN	40998647
5	B04	HRI	27102	KIN	40998648
5	B05	MAPKAPK3	7867	KIN	40998649
5	B06	ACVR2B	93	KIN	40998650
5	B07	EGFR	1956	KIN	40998651
5	B08	ROS1	6098	KIN	40998652
5	B09	HK3	3101	KIN	40998653
5	B10	DDR2	4921	KIN	40998654
5	B11	DAPK2	23604	KIN	40998655
5	B12	PLK1	5347	KIN	40998656
5	C01	siCON2			40998657
5	C02	ITPK1	3705	KIN	40998658
5	C03	ILK-2	55522	KIN	40998659
5	C04	EPHA2	1969	KIN	40998660
5	C05	PHKG1	5260	KIN	40998661
5	C06	FUK	197258	KIN	40998662
5	C07	AK3	205	KIN	40998663
5	C08	CSNK2A2	1459	KIN	40998664
5	C09	VRK2	7444	KIN	40998665
5	C10	KALRN	8997	KIN	40998666
5	C11	ARAF1	369	KIN	40998667
5	C12	MOCK			40998668
5	D01	allSTAR			40998669
5	D02	BCR	613	KIN	40998670
5	D03	DCK	1633	KIN	40998671
5	D04	MGC16169	93627	KIN	40998672
5	D05	STK22D	83942	KIN	40998673
5	D06	SRP72	6731	KIN	40998674
5	D07	DGKI	9162	KIN	40998675
5	D08	CSK	1445	KIN	40998676
5	D09	IKBKAP	8518	KIN	40998677
5	D10	ADRBK2	157	KIN	40998678
5	D11	ICK	22858	KIN	40998679
5	D12	siCON1			40998680
5	E01	PLK1	5347	KIN	40998681
5	E02	ADCK2	90956	KIN	40998682
5	E03	PI4K2B	55300	KIN	40998683
5	E04	TRIB3	57761	KIN	40998684
5	E05	FLJ23074	80122	KIN	40998685
5	E06	HIPK2	28996	KIN	40998686
5	E07	PRPS1	5631	KIN	40998687
5	E08	CSNK1D	1453	KIN	40998688
5	E09	DYRK3	8444	KIN	40998689
5	E10	TYK2	7297	KIN	40998690
5	E11	MYO3A	53904	KIN	40998691
5	E12	siCON2			40998692
5	F01	TNKS		KIN	40998693
5	F02	SPHK1	8877	KIN	40998694
5	F03	ASK	10926	KIN	40998695
5	F04	PDGFRB	5159	KIN	40998696
5	F05	FGR	2268	KIN	40998697
5	F06	ROR1	4919	KIN	40998698
5	F07	CRK7	51755	KIN	40998699
5	F08	CDKN1B	1027	KIN	40998700
5	F09	PACSIN1	29993	KIN	40998701
5	F10	DAPK3	1613	KIN	40998702
5	F11	PIK3R1	5295	KIN	40998703
5	F12	allSTAR			40998704
5	G01	siCON1			40998705
5	G02	PRKY	5616	KIN	40998706
5	G03	MAP3K1	4214	KIN	40998707
5	G04	ZAP70	7535	KIN	40998708
5	G05	STK23	26576	KIN	40998709
5	G06	PTK7	5754	KIN	40998710
5	G07	RPS6KL1	83694	KIN	40998711
5	G08	RPS6KA6	27330	KIN	40998712
5	G09	SRPK1	6732	KIN	40998713
5	G10	PRKACA	5566	KIN	40998714
5	G11	PTK2B	2185	KIN	40998715
5	G12	PLK1	5347	KIN	40998716
5	H01	siCON2			40998717
5	H02	MERTK	10461	KIN	40998718
5	H03	CERK	64781	KIN	40998719
5	H04	NUCKS	64710	KIN	40998720
5	H05	CIT	11113	KIN	40998721
5	H06	CDKL4	344387	KIN	40998722
5	H07	KIAA2002	79834	KIN	40998723
5	H08	OSR1	9943	KIN	40998724
5	H09	RAGE	5891	KIN	40998725
5	H10	BMPR2	659	KIN	40998726
5	H11	NRBP2	340371	KIN	40998727
5	H12	MOCK			40998728
6	A01	MOCK			40998729
6	A02	MAP2K4	6416	KIN	40998730
6	A03	FLJ13052	65220	KIN	40998731
6	A04	TLK2	11011	KIN	40998732
6	A05	TJP2	9414	KIN	40998733
6	A06	ADCK5	203054	KIN	40998734
6	A07	MAPK11	5600	KIN	40998735
6	A08	PGK2	5232	KIN	40998736
6	A09	BUB1B	701	KIN	40998737
6	A10	MAP2K5	5607	KIN	40998738
6	A11	LAK	80216	KIN	40998739
6	A12	allSTAR			40998740
6	B01	siCON1			40998741
6	B02	CDK7	1022	KIN	40998742
6	B03	LRRK1	79705	KIN	40998743
6	B04	FLJ25006	124923	KIN	40998744
6	B05	MAPK14	1432	KIN	40998745
6	B06	TBK1	29110	KIN	40998746
6	B07	ERN2	10595	KIN	40998747
6	B08	PRKCI	5584	KIN	40998748
6	B09	IKBKE	9641	KIN	40998749
6	B10	CSNK1A1L	122011	KIN	40998750
6	B11	PIP5K1A	8394	KIN	40998751
6	B12	PLK1	5347	KIN	40998752
6	C01	siCON2			40998753
6	C02	STK17A	9263	KIN	40998754
6	C03	TEX14	56155	KIN	40998755
6	C04	MAPKAPK2	9261	KIN	40998756
6	C05	LTK	4058	KIN	40998757
6	C06	CASK	8573	KIN	40998758
6	C07	DYRK1B	9149	KIN	40998759
6	C08	SBK1	388228	KIN	40998760
6	C09	PCTK1	5127	KIN	40998761
6	C10	MAP3K4	4216	KIN	40998762
6	C11	STK38L	23012	KIN	40998763
6	C12	MOCK			40998764
6	D01	allSTAR			40998765
6	D02	MGC4796	83931	KIN	40998766
6	D03	PKIA	5569	KIN	40998767
6	D04	RBKS	64080	KIN	40998768
6	D05	PHKA1	5255	KIN	40998769
6	D06	ERN1	2081	KIN	40998770
6	D07	STYK1	55359	KIN	40998771
6	D08	ARK5	9891	KIN	40998772
6	D09	PIP5K1B	8395	KIN	40998773
6	D10	DGUOK	1716	KIN	40998774
6	D11	PANK3	79646	KIN	40998775
6	D12	siCON1			40998776
6	E01	PLK1	5347	KIN	40998777
6	E02	SRPK2	6733	KIN	40998778
6	E03	CLK2	1196	KIN	40998779
6	E04	TGFBR2	7048	KIN	40998780
6	E05	STK22B	23617	KIN	40998781
6	E06	GAK	2580	KIN	40998782
6	E07	RPS6KA2	6196	KIN	40998783
6	E08	MAPK6	5597	KIN	40998784
6	E09	GRK7	131890	KIN	40998785
6	E10	ADRBK1	156	KIN	40998786
6	E11	CDK10	8558	KIN	40998787
6	E12	siCON2			40998788
6	F01	TNKS		KIN	40998789
6	F02	CDKN1A	1026	KIN	40998790
6	F03	PANK2	80025	KIN	40998791
6	F04	EPHA3	2042	KIN	40998792
6	F05	PYCS	5832	KIN	40998793
6	F06	IHPK1	9807	KIN	40998794
6	F07	BRD4	23476	KIN	40998795
6	F08	TEC	7006	KIN	40998796
6	F09	FRDA	2395	KIN	40998797
6	F10	PRPS2	5634	KIN	40998798
6	F11	AK5	26289	KIN	40998799
6	F12	allSTAR			40998800
6	G01	siCON1			40998801
6	G02	MAST2	23139	KIN	40998802
6	G03	CDK5R1	8851	KIN	40998803
6	G04	WEE1	7465	KIN	40998804
6	G05	CDK6	1021	KIN	40998805
6	G06	CDKN2D	1032	KIN	40998806
6	G07	PRKCQ	5588	KIN	40998807
6	G08	PRKAG2	51422	KIN	40998808
6	G09	MAP3K3	4215	KIN	40998809
6	G10	FGFRL1	53834	KIN	40998810
6	G11	NME1	4830	KIN	40998811
6	G12	PLK1	5347	KIN	40998812
6	H01	siCON2			40998813
6	H02	TNK1	8711	KIN	40998814
6	H03	STK29	9024	KIN	40998815
6	H04	NTRK3	4916	KIN	40998816
6	H05	LMTK2	22853	KIN	40998817
6	H06	DTYMK	1841	KIN	40998818
6	H07	PIK3R4	30849	KIN	40998819
6	H08	GCK	2645	KIN	40998820
6	H09	EPHB2	2048	KIN	40998821
6	H10	SGKL	23678	KIN	40998822
6	H11	DLG3	1741	KIN	40998823
6	H12	MOCK			40998824
7	A01	MOCK			40998825
7	A02	RET	5979	KIN	40998826
7	A03	MAP2K6	5608	KIN	40998827
7	A04	RPS6KC1	26750	KIN	40998828
7	A05	NME7	29922	KIN	40998829
7	A06	MAP3K10	4294	KIN	40998830
7	A07	UCK1	83549	KIN	40998831
7	A08	FGFR2	2263	KIN	40998832
7	A09	ERBB3	2065	KIN	40998833
7	A10	NEK3	4752	KIN	40998834
7	A11	COL4A3BP	10087	KIN	40998835
7	A12	allSTAR			40998836
7	B01	siCON1			40998837
7	B02	CDC2L5	8621	KIN	40998838
7	B03	ALK	238	KIN	40998839
7	B04	SPEG	10290	KIN	40998840
7	B05	TP53RK	112858	KIN	40998841
7	B06	EFNA5	1946	KIN	40998842
7	B07	MAPK13	5603	KIN	40998843
7	B08	TRIB2	28951	KIN	40998844
7	B09	DGKH	160851	KIN	40998845
7	B10	FRK	2444	KIN	40998846
7	B11	PIK3CB	5291	KIN	40998847
7	B12	PLK1	5347	KIN	40998848
7	C01	siCON2			40998849
7	C02	KCNH2	3757	KIN	40998850
7	C03	CDKL1	8814	KIN	40998851
7	C04	NTRK2	4915	KIN	40998852
7	C05	AATK	9625	KIN	40998853
7	C06	PRKCG	5582	KIN	40998854
7	C07	STK38	11329	KIN	40998855
7	C08	PMVK	10654	KIN	40998856
7	C09	EPHA1	2041	KIN	40998857
7	C10	RAF1	5894	KIN	40998858
7	C11	PRKCSH	5589	KIN	40998859
7	C12	MOCK			40998860
7	D01	allSTAR			40998861
7	D02	PRKCD	5580	KIN	40998862
7	D03	ATR	545	KIN	40998863
7	D04	CAMK2A	815	KIN	40998864
7	D05	KDR	3791	KIN	40998865
7	D06	TAF1	6872	KIN	40998866
7	D07	CDK11	23097	KIN	40998867
7	D08	SNARK	81788	KIN	40998868
7	D09	SCYL1	57410	KIN	40998869
7	D10	PRKAB2	5565	KIN	40998870
7	D11	MGC4796	83931	KIN	40998871
7	D12	siCON1			40998872
7	E01	PLK1	5347	KIN	40998873
7	E02	STK32B	55351	KIN	40998874
7	E03	MAP3K7IP1	10454	KIN	40998875
7	E04	PRKR	5610	KIN	40998876
7	E05	RIPK3	11035	KIN	40998877
7	E06	ULK4	54986	KIN	40998878
7	E07	SPHK2	56848	KIN	40998879
7	E08	TESK1	7016	KIN	40998880
7	E09	CSNK2B	1460	KIN	40998881
7	E10	ERBB4	2066	KIN	40998882
7	E11	PFKFB4	5210	KIN	40998883
7	E12	siCON2			40998884
7	F01	MOCK			40998885
7	F02	PKMYT1	9088	KIN	40998886
7	F03	PACE-1	57147	KIN	40998887
7	F04	IKBKB	3551	KIN	40998888
7	F05	MAP3K13	9175	KIN	40998889
7	F06	CAMK1D	57118	KIN	40998890
7	F07	IRAK3	11213	KIN	40998891
7	F08	MOS	4342	KIN	40998892
7	F09	PIP5K2B	8396	KIN	40998893
7	F10	STK4	6789	KIN	40998894
7	F11	BAIAP1	9223	KIN	40998895
7	F12	allSTAR			40998896
7	G01	siCON1			40998897
7	G02	SLK	9748	KIN	40998898
7	G03	CDKN1C	1028	KIN	40998899
7	G04	PIP5K1C	23396	KIN	40998900
7	G05	PFKL	5211	KIN	40998901
7	G06	PCK1	5105	KIN	40998902
7	G07	CDK9	1025	KIN	40998903
7	G08	FGFR4	2264	KIN	40998904
7	G09	CRKL	1399	KIN	40998905
7	G10	RPS6KA5	9252	KIN	40998906
7	G11	STK32C	282974	KIN	40998907
7	G12	PLK1	5347	KIN	40998908
7	H01	siCON2			40998909
7	H02	PRKD2	25865	KIN	40998910
7	H03	CAMKK1	84254	KIN	40998911
7	H04	LYK5	92335	KIN	40998912
7	H05	COMMD3	23412	KIN	40998913
7	H06	TK2	7084	KIN	40998914
7	H07	CSNK2A1	1457	KIN	40998915
7	H08	SRMS	6725	KIN	40998916
7	H09	MAP4K2	5871	KIN	40998917
7	H10	KIAA1811	84446	KIN	40998918
7	H11	PDK1	5163	KIN	40998919
7	H12	MOCK			40998920
8	A01	MOCK			40998921
8	A02	MELK	9833	KIN	40998922
8	A03	PRKCH	5583	KIN	40998923
8	A04	PAK3	5063	KIN	40998924
