Plate	Well	Conf	GeneID	Entrez_gene_ID
6	J09	sample	AKT3	10000
5	G17	sample	ALDH1A1	NA
6	F09	sample	ALDH1A2	NA
5	I05	sample	ALDH1A3	NA
5	I03	sample	ALDH1B1	NA
5	G19	sample	ALDH2	NA
5	G21	sample	ALDH3A1	NA
5	I13	sample	ALDH3A2	NA
5	I07	sample	ALDH3B1	NA
5	I09	sample	ALDH3B2	NA
6	O10	sample	ALDH5A1	NA
5	J18	sample	ALDH6A1	NA
5	O11	sample	ALDH7A1	NA
5	I11	sample	ALDH9A1	NA
5	I15	sample	ALDOA	NA
5	I17	sample	ALDOB	NA
5	I19	sample	ALDOC	NA
6	P12	sample	ALDRL6	NA
2	D05	sample	ALK	238
7	D21	sample	ALKBH2	NA
7	F03	sample	ALKBH3	NA
1	A01	neg	allstar	NA
1	A02	neg	allstar	NA
1	A23	neg	allstar	NA
1	A24	neg	allstar	NA
1	B01	neg	allstar	NA
1	B02	neg	allstar	NA
1	B23	neg	allstar	NA
1	B24	neg	allstar	NA
1	C01	neg	allstar	NA
1	C02	neg	allstar	NA
1	C23	neg	allstar	NA
1	C24	neg	allstar	NA
1	D01	neg	allstar	NA
1	D02	neg	allstar	NA
1	D23	neg	allstar	NA
1	D24	neg	allstar	NA
2	A01	neg	allstar	NA
2	A02	neg	allstar	NA
2	A23	neg	allstar	NA
2	A24	neg	allstar	NA
2	B01	neg	allstar	NA
2	B02	neg	allstar	NA
2	B23	neg	allstar	NA
2	B24	neg	allstar	NA
2	C01	neg	allstar	NA
2	C02	neg	allstar	NA
2	C23	neg	allstar	NA
2	C24	neg	allstar	NA
2	D01	neg	allstar	NA
2	D02	neg	allstar	NA
2	D23	neg	allstar	NA
2	D24	neg	allstar	NA
3	A01	neg	allstar	NA
3	A02	neg	allstar	NA
3	A23	neg	allstar	NA
3	A24	neg	allstar	NA
3	C01	neg	allstar	NA
3	C02	neg	allstar	NA
3	C23	neg	allstar	NA
3	C24	neg	allstar	NA
4	A01	neg	allstar	NA
4	A02	neg	allstar	NA
4	A23	neg	allstar	NA
4	A24	neg	allstar	NA
4	B01	neg	allstar	NA
4	B02	neg	allstar	NA
4	B23	neg	allstar	NA
4	B24	neg	allstar	NA
4	C01	neg	allstar	NA
4	C02	neg	allstar	NA
4	C23	neg	allstar	NA
4	C24	neg	allstar	NA
4	D01	neg	allstar	NA
4	D02	neg	allstar	NA
4	D23	neg	allstar	NA
4	D24	neg	allstar	NA
5	A01	neg	allstar	NA
5	A02	neg	allstar	NA
5	A23	neg	allstar	NA
5	A24	neg	allstar	NA
5	B01	neg	allstar	NA
5	B02	neg	allstar	NA
5	B23	neg	allstar	NA
5	B24	neg	allstar	NA
5	C01	neg	allstar	NA
5	C02	neg	allstar	NA
5	C23	neg	allstar	NA
5	C24	neg	allstar	NA
5	D01	neg	allstar	NA
5	D02	neg	allstar	NA
5	D23	neg	allstar	NA
5	D24	neg	allstar	NA
6	A01	neg	allstar	NA
6	A02	neg	allstar	NA
6	A23	neg	allstar	NA
6	A24	neg	allstar	NA
6	B01	neg	allstar	NA
6	B02	neg	allstar	NA
6	B23	neg	allstar	NA
6	B24	neg	allstar	NA
6	C01	neg	allstar	NA
6	C02	neg	allstar	NA
6	C23	neg	allstar	NA
6	C24	neg	allstar	NA
6	D01	neg	allstar	NA
6	D02	neg	allstar	NA
6	D23	neg	allstar	NA
6	D24	neg	allstar	NA
7	A01	neg	allstar	NA
7	A02	neg	allstar	NA
7	A23	neg	allstar	NA
7	A24	neg	allstar	NA
7	B01	neg	allstar	NA
7	B02	neg	allstar	NA
7	B23	neg	allstar	NA
7	B24	neg	allstar	NA
7	C01	neg	allstar	NA
7	C02	neg	allstar	NA
7	C23	neg	allstar	NA
7	C24	neg	allstar	NA
7	D01	neg	allstar	NA
7	D02	neg	allstar	NA
7	D23	neg	allstar	NA
7	D24	neg	allstar	NA
4	G04	sample	ALPI	NA
4	E03	sample	ALPL	NA
4	O20	sample	ALPP	NA
4	A21	sample	ALPPL2	NA
1	E03	sample	ALS2CR2	55437
1	M14	sample	ALS2CR7	65061
5	I21	sample	AMD1	NA
3	I03	sample	AMHR2	269
5	K03	sample	AMPD1	NA
5	K05	sample	AMPD2	NA
5	K07	sample	AMPD3	NA
5	K09	sample	AMT	NA
5	K11	sample	ANG	NA
6	F20	sample	ANGPTL3	NA
1	A14	sample	ANKK1	255239
1	F17	sample	ANKRD3	54101
3	A12	sample	APC	NA
7	D05	sample	APEX1	NA
7	D07	sample	APEX2	NA
5	K19	sample	APOC2	NA
5	K21	sample	APOC3	NA
5	M03	sample	APOE	NA
5	M05	sample	APOH	NA
5	M07	sample	APRT	NA
6	N05	sample	APS	NA
7	H08	sample	APTX	NA
2	E21	sample	ARAF1	369
5	M09	sample	ARAF1	369
5	M11	sample	ARG1	NA
5	M13	sample	ARG2	NA
6	D20	sample	ARH	NA
2	G16	sample	ARK5	9891
5	M15	sample	ARL2	NA
6	F14	sample	ASAHL	NA
2	K05	sample	ASK	10926
5	M19	sample	ASL	NA
5	M21	sample	ASNS	NA
5	O03	sample	ASPA	NA
7	E03	sample	ASRGL1	NA
5	O05	sample	ASS	NA
5	K08	sample	ATF2	NA
5	O07	sample	ATIC	NA
1	M03	sample	ATM	472
3	A14	sample	ATM	472
7	J18	sample	ATM	472
5	O09	sample	ATP5A1	NA
5	O13	sample	ATP5B	NA
5	O15	sample	ATP5C1	NA
5	O17	sample	ATP5D	NA
5	O19	sample	ATP5E	NA
5	O21	sample	ATP5F1	NA
5	A04	sample	ATP5G1	NA
5	A06	sample	ATP5G2	NA
5	A08	sample	ATP5G3	NA
6	L09	sample	ATP5H	NA
5	A10	sample	ATP5I	NA
5	A12	sample	ATP5J	NA
5	A05	sample	ATP5J2	NA
6	N09	sample	ATP5L	NA
5	A14	sample	ATP5O	NA
6	F10	sample	ATP5S	NA
6	L04	sample	ATP8A2	NA
2	H05	sample	ATR	545
7	P04	sample	ATR	545
7	C04	sample	ATRIP	NA
5	A16	sample	AUH	NA
1	H18	sample	AURKA	6790
2	A05	sample	AURKB	9212
1	C14	sample	AURKC	6795
1	F15	sample	AXL	558
7	M13	sample	B3GAT2	NA
6	F04	sample	B3GAT3	NA
2	L21	sample	BAIAP1	9223
6	B03	sample	BBOX1	NA
5	A18	sample	BCAT1	NA
5	A20	sample	BCAT2	NA
5	A22	sample	BCKDHA	NA
5	C04	sample	BCKDHB	NA
1	B15	sample	BCKDK	10295
5	A03	sample	BCL2L11	NA
2	G03	sample	BCR	613
5	C06	sample	BCR	613
6	D03	sample	BECN1	NA
3	A06	sample	BHD	NA
5	C08	sample	BHMT	NA
1	B21	sample	BLK	640
3	A16	sample	BLM	NA
7	J12	sample	BLM	NA
1	M20	sample	BMP2K	55589
2	B18	sample	BMPR1A	657
3	A18	sample	BMPR1A	657
1	M11	sample	BMPR1B	658
2	O19	sample	BMPR2	659
2	D16	sample	BMX	660
4	P17	sample	BPGM	NA
5	C10	sample	BPGM	NA
4	G06	sample	BPNT1	NA
3	I21	sample	BRAF	673
5	C12	sample	BRAF	673
3	A20	sample	BRCA1	NA
7	N21	sample	BRCA1	NA
3	A22	sample	BRCA2	NA
7	P03	sample	BRCA2	NA
1	B22	sample	BRD2	6046
1	C15	sample	BRD3	8019
2	K14	sample	BRD4	23476
2	F14	sample	BRDT	676
3	C04	sample	BRIP1	NA
7	L18	sample	BRIP1	NA
7	B04	sample	BTBD12	NA
1	D17	sample	BTK	695
1	D07	sample	BUB1	699
2	A18	sample	BUB1B	701
3	C06	sample	BUB1B	701
3	K21	sample	C10ORF89	118672
2	J22	sample	C14ORF20	283629
7	N06	sample	C19orf40	NA
7	J20	sample	C7ORF11	NA
1	I11	sample	C7ORF2	64327
1	L20	sample	C9ORF12	64768
7	A17	sample	C9ORF12	64768
4	I18	sample	C9ORF67	NA
3	I11	sample	C9ORF96	169436
5	C16	sample	CA12	NA
5	C14	sample	CA9	NA
5	C20	sample	CAD	NA
7	O03	sample	CAGLP	NA
1	A22	sample	CALM1	801
5	C22	sample	CALM1	801
3	C19	sample	CALM2	805
5	E04	sample	CALM2	805
1	O17	sample	CALM3	808
5	E06	sample	CALM3	808
5	E08	sample	CALML3	NA
1	F04	sample	CAMK1	8536
2	L11	sample	CAMK1D	57118
1	N11	sample	CAMK1G	57172
2	H07	sample	CAMK2A	815
1	A21	sample	CAMK2B	816
1	K17	sample	CAMK2D	817
1	K08	sample	CAMK2G	818
2	F22	sample	CAMK4	814
1	K20	sample	CAMKIINALPHA	55450
1	J18	sample	CAMKK1	84254
2	P05	sample	CAMKK1	84254
1	K16	sample	CAMKK2	10645
6	L17	sample	CAP1	NA
6	L15	sample	CAP2	NA
1	E05	sample	CARKL	23729
2	E12	sample	CASK	8573
5	E10	sample	CASP3	NA
6	D04	sample	CBLC	NA
5	E12	sample	CBS	NA
7	J17	sample	CCNH	NA
5	I04	sample	CCR5	NA
1	F07	sample	CCRK	23552
5	E16	sample	CD33	NA
5	E14	sample	CD4	NA
5	E22	sample	CD81	NA
1	P21	sample	CDADC1	81602
4	D08	sample	CDC14A	NA
4	M22	sample	CDC14B	NA
1	G03	sample	CDC2	983
5	G04	sample	CDC2	983
4	A15	sample	CDC25A	NA
4	I22	sample	CDC25B	NA
4	E19	sample	CDC25C	NA
5	G06	sample	CDC25C	NA
1	F20	sample	CDC2L1	984
1	F14	sample	CDC2L2	728642
2	D03	sample	CDC2L5	8621
1	P18	sample	CDC42BPA	8476
1	F21	sample	CDC42BPB	9578
1	K06	sample	CDC7	8317
3	C08	sample	CDH1	NA
2	I22	sample	CDK10	8558
2	H13	sample	CDK11	23097
3	C13	sample	CDK2	1017
3	K17	sample	CDK3	1018
1	L17	sample	CDK4	1019
2	C03	sample	CDK5	1020
7	C12	sample	CDK5	1020
2	M06	sample	CDK5R1	8851
1	L06	sample	CDK5R2	8941
6	F15	sample	CDK5R2	8941
2	M10	sample	CDK6	1021
2	C04	sample	CDK7	1022
7	J15	sample	CDK7	1022
1	L11	sample	CDK8	1024
2	N13	sample	CDK9	1025
2	F05	sample	CDKL1	8814
3	C05	sample	CDKL2	8999
1	E15	sample	CDKL3	51265
2	O11	sample	CDKL4	344387
1	O21	sample	CDKL5	6792
2	K04	sample	CDKN1A	1026
5	G08	sample	CDKN1A	1026
2	K15	sample	CDKN1B	1027
5	G10	sample	CDKN1B	1027
2	N05	sample	CDKN1C	1028
3	C10	sample	CDKN2A	NA
3	C12	sample	CDKN2A	NA
3	I07	sample	CDKN2B	1030
1	D04	sample	CDKN2C	1031
2	M12	sample	CDKN2D	1032
4	A20	sample	CDKN3	NA
5	G12	sample	CEL	NA
2	O05	sample	CERK	64781
7	H09	sample	CETN2	NA
6	F07	sample	CFLAR	NA
7	J08	sample	CHAF1A	NA
5	G14	sample	CHAT	NA
6	P06	sample	CHDH	NA
1	F10	sample	CHEK1	1111
7	P16	sample	CHEK1	1111
2	L08	sample	CHEK2	11200
3	C14	sample	CHEK2	11200
6	P09	sample	CHEK2	11200
7	P18	sample	CHEK2	11200
6	F12	sample	CHIA	NA
2	D08	sample	CHKA	1119
5	G16	sample	CHKA	1119
3	G17	sample	CHKB	1120
5	G18	sample	CHKB	1120
6	B11	sample	CHST1	NA
2	J18	sample	CHUK	1147
5	G20	sample	CHUK	1147
1	D10	sample	CIB2	10518
4	O21	sample	CILP	NA
2	O09	sample	CIT	11113
1	E21	sample	CKB	1152
3	E05	sample	CKM	1158
1	M08	sample	CKMT1B	1159
5	G22	sample	CKMT1B	1159
1	J06	sample	CKMT2	1160
1	M18	sample	CKS1B	1163
1	K09	sample	CKS2	1164
6	K04	sample	CLDN5	NA
1	C22	sample	CLK1	1195
2	I06	sample	CLK2	1196
7	C08	sample	CLK2	1196
2	L22	sample	CLK3	1198
2	D18	sample	CLK4	57396
7	O05	sample	CLYBL	NA
6	P18	sample	CMAS	NA
1	A11	sample	COASY	80347
2	B21	sample	COL4A3BP	10087
2	P09	sample	COMMD3	23412
3	C16	sample	COPEB	NA
6	F18	sample	COQ2	NA
6	L08	sample	COQ3	NA
5	I14	sample	COX11	NA
6	H09	sample	COX5A	NA
5	I06	sample	COX6A1	NA
5	I08	sample	COX6A2	NA
5	I10	sample	COX7A1	NA
5	I12	sample	COX7A2	NA
6	H05	sample	COX7A2L	NA
1	D22	sample	CPNE3	8895
5	I16	sample	CPS1	NA
5	I18	sample	CPT1A	NA
5	I20	sample	CPT1B	NA
7	M07	sample	CPT1C	NA
5	I22	sample	CPT2	NA
5	K04	sample	CRAT	NA
5	K06	sample	CREB1	NA
6	L19	sample	CREB3	NA
7	I05	sample	CREB3L1	NA
7	A15	sample	CREB3L2	NA
7	G11	sample	CREB3L3	NA
7	M17	sample	CREB3L4	NA
6	H19	sample	CREB5	NA
1	G13	sample	CRIM1	51232
5	K10	sample	CRK	NA
2	K13	sample	CRK7	51755
2	N17	sample	CRKL	1399
6	N10	sample	CROT	NA
5	K12	sample	CS	NA
1	J17	sample	CSF1R	1436
2	G15	sample	CSK	1445
2	F04	sample	CSNK1A1	1452
2	C20	sample	CSNK1A1L	122011
2	I15	sample	CSNK1D	1453
1	F03	sample	CSNK1E	1454
1	E16	sample	CSNK1G1	53944
1	O11	sample	CSNK1G2	1455
1	K07	sample	CSNK1G3	1456
2	P13	sample	CSNK2A1	1457
2	E15	sample	CSNK2A2	1459
2	J17	sample	CSNK2B	1460
5	K18	sample	CTBS	NA
4	G05	sample	CTDP1	NA
4	A09	sample	CTDSP1	NA
4	K16	sample	CTDSP2	NA
5	K20	sample	CTH	NA
5	K22	sample	CTPS	NA
6	O08	sample	CXCR4	NA
3	C18	sample	CYLD	NA
5	M06	sample	CYP11A1	NA
5	M08	sample	CYP11B1	NA
5	M10	sample	CYP24A1	NA
5	M12	sample	CYP27A1	NA
5	M14	sample	CYP27B1	NA
5	M04	sample	CYP2E1	NA
6	P20	sample	DAP13	NA
1	J07	sample	DAPK1	1612
2	C21	sample	DAPK2	23604
2	K19	sample	DAPK3	1613
5	M16	sample	DBT	NA
3	M05	sample	DCAMKL1	9201
5	M18	sample	DCI	NA
2	G05	sample	DCK	1633
7	N08	sample	DCLRE1A	NA
7	N10	sample	DCLRE1B	NA
7	B18	sample	DCLRE1C	NA
6	B22	sample	DDAH1	NA
6	B20	sample	DDAH2	NA
7	L15	sample	DDB1	NA
3	C20	sample	DDB2	NA
7	L17	sample	DDB2	NA
2	H22	sample	DDR1	780
2	C19	sample	DDR2	4921
5	M20	sample	DECR1	NA
6	H20	sample	DERA	NA
6	D05	sample	DGAT1	NA
7	G07	sample	DGAT2	NA
1	L18	sample	DGKA	1606
1	I22	sample	DGKB	1607
3	G11	sample	DGKD	8527
6	B09	sample	DGKD	8527
1	B09	sample	DGKG	1608
2	D17	sample	DGKH	160851
2	G13	sample	DGKI	9162
1	D03	sample	DGKK	139189
1	L21	sample	DGKQ	1609
2	G20	sample	DGUOK	1716
5	M22	sample	DHFR	NA
5	O04	sample	DHODH	NA
2	N22	sample	DKFZP434C131	25989
4	K09	sample	DKFZP566K0524	NA
7	M15	sample	DKFZP586M1819	NA
4	K12	sample	DKFZP761G058	NA
1	L10	sample	DKFZP761P0423	157285
5	O06	sample	DLAT	NA
5	O08	sample	DLD	NA
3	I09	sample	DLG1	1739
4	I09	sample	DLG1	1739
2	B14	sample	DLG2	1740
2	O22	sample	DLG3	1741
1	D15	sample	DLG4	1742
4	D11	sample	DLG7	NA
5	O10	sample	DLST	NA
7	N09	sample	DMC1	NA
1	A09	sample	DMPK	1760
6	B21	sample	DNCL1	NA
5	M17	sample	DO	NA
4	A03	sample	DOT1L	NA
6	D19	sample	DPM1	NA
6	D21	sample	DPM2	NA
6	L16	sample	DPM3	NA
6	J08	sample	DSCR5	NA
2	O12	sample	DTYMK	1841
4	H21	sample	DUSP1	NA
4	A05	sample	DUSP10	NA
4	C09	sample	DUSP11	NA
4	J13	sample	DUSP12	NA
4	I08	sample	DUSP13	NA
4	O03	sample	DUSP14	NA
4	K08	sample	DUSP15	NA
4	N09	sample	DUSP16	NA
4	O10	sample	DUSP18	NA
4	O19	sample	DUSP19	NA
4	B13	sample	DUSP2	NA
3	I05	sample	DUSP21	63904
4	K05	sample	DUSP21	63904
4	K20	sample	DUSP22	NA
4	B04	sample	DUSP23	NA
4	O07	sample	DUSP3	NA
4	E13	sample	DUSP4	NA
4	E09	sample	DUSP5	NA
4	N15	sample	DUSP6	NA
4	G22	sample	DUSP7	NA
4	D19	sample	DUSP8	NA
4	F09	sample	DUSP9	NA
1	L12	sample	DUSTYPK	25778
7	D04	sample	DUT	NA
5	O14	sample	DYNC1H1	NA
2	F20	sample	DYRK1A	1859
2	E14	sample	DYRK1B	9149
1	J19	sample	DYRK2	8445
2	I17	sample	DYRK3	8444
1	O22	sample	DYRK4	8798
5	O16	sample	ECHS1	NA
1	A12	sample	EEF2K	29904
1	B13	sample	EFNA3	1944
1	L05	sample	EFNA4	1945
2	D11	sample	EFNA5	1946
3	G05	sample	EFNB3	1949
5	O18	sample	EGF	NA
2	C13	sample	EGFR	1956
5	O20	sample	EGFR	1956
5	O22	sample	EHHADH	NA
7	C17	sample	EHMT1	NA
2	L12	sample	EIF2AK3	9451
2	F16	sample	EIF2AK4	440275
5	B03	sample	EIF4E	NA
6	H11	sample	EIF4E2	NA
5	B05	sample	EIF4EBP1	NA
5	B07	sample	EIF4G1	NA
5	B09	sample	EIF4G2	NA
5	B11	sample	ELF3	NA
5	B13	sample	ELF4	NA
5	B15	sample	ELK1	NA
6	N14	sample	ELOVL2	NA
7	E21	sample	ELOVL3	NA
7	P17	sample	EME1	NA
7	P19	sample	EME2	NA
3	B01	empty	empty	NA
3	B02	empty	empty	NA
3	B03	empty	empty	NA
3	B04	empty	empty	NA
3	B05	empty	empty	NA
3	B06	empty	empty	NA
3	B07	empty	empty	NA
3	B08	empty	empty	NA
3	B09	empty	empty	NA
3	B10	empty	empty	NA
3	B11	empty	empty	NA
3	B12	empty	empty	NA
3	B13	empty	empty	NA
3	B14	empty	empty	NA
3	B15	empty	empty	NA
3	B16	empty	empty	NA
3	B17	empty	empty	NA
3	B18	empty	empty	NA
3	B19	empty	empty	NA
3	B20	empty	empty	NA
3	B21	empty	empty	NA
3	B22	empty	empty	NA
3	B23	empty	empty	NA
3	B24	empty	empty	NA
3	D01	empty	empty	NA
3	D02	empty	empty	NA
3	D03	empty	empty	NA
3	D04	empty	empty	NA
3	D05	empty	empty	NA
3	D06	empty	empty	NA
3	D07	empty	empty	NA
3	D08	empty	empty	NA
3	D09	empty	empty	NA
3	D10	empty	empty	NA
3	D11	empty	empty	NA
3	D12	empty	empty	NA
3	D13	empty	empty	NA
3	D14	empty	empty	NA
3	D15	empty	empty	NA
3	D16	empty	empty	NA
3	D17	empty	empty	NA
3	D18	empty	empty	NA
3	D19	empty	empty	NA
3	D20	empty	empty	NA
3	D21	empty	empty	NA
3	D22	empty	empty	NA
3	D23	empty	empty	NA
3	D24	empty	empty	NA
3	F01	empty	empty	NA
3	F02	empty	empty	NA
3	F03	empty	empty	NA
3	F04	empty	empty	NA
3	F05	empty	empty	NA
3	F06	empty	empty	NA
3	F07	empty	empty	NA
3	F08	empty	empty	NA
3	F09	empty	empty	NA
3	F10	empty	empty	NA
3	F11	empty	empty	NA
3	F12	empty	empty	NA
3	F13	empty	empty	NA
3	F14	empty	empty	NA
3	F15	empty	empty	NA
3	F16	empty	empty	NA
3	F17	empty	empty	NA
3	F18	empty	empty	NA
3	F19	empty	empty	NA
3	F20	empty	empty	NA
3	F21	empty	empty	NA
3	F22	empty	empty	NA
3	F23	empty	empty	NA
3	F24	empty	empty	NA
3	H01	empty	empty	NA
3	H02	empty	empty	NA
3	H03	empty	empty	NA
3	H04	empty	empty	NA
3	H05	empty	empty	NA
3	H06	empty	empty	NA
3	H07	empty	empty	NA
3	H08	empty	empty	NA
3	H09	empty	empty	NA
3	H10	empty	empty	NA
3	H11	empty	empty	NA
3	H12	empty	empty	NA
3	H13	empty	empty	NA
3	H14	empty	empty	NA
3	H15	empty	empty	NA
3	H16	empty	empty	NA
3	H17	empty	empty	NA
3	H18	empty	empty	NA
3	H19	empty	empty	NA
3	H20	empty	empty	NA
3	H21	empty	empty	NA
3	H22	empty	empty	NA
3	H23	empty	empty	NA
3	H24	empty	empty	NA
3	J01	empty	empty	NA
3	J02	empty	empty	NA
3	J03	empty	empty	NA
3	J04	empty	empty	NA
3	J05	empty	empty	NA
3	J06	empty	empty	NA
3	J07	empty	empty	NA
3	J08	empty	empty	NA
3	J09	empty	empty	NA
3	J10	empty	empty	NA
3	J11	empty	empty	NA
3	J12	empty	empty	NA
3	J13	empty	empty	NA
3	J14	empty	empty	NA
3	J15	empty	empty	NA
3	J16	empty	empty	NA
3	J17	empty	empty	NA
3	J18	empty	empty	NA
3	J19	empty	empty	NA
3	J20	empty	empty	NA
3	J21	empty	empty	NA
3	J22	empty	empty	NA
3	J23	empty	empty	NA
3	J24	empty	empty	NA
3	L01	empty	empty	NA
3	L02	empty	empty	NA
3	L03	empty	empty	NA
3	L04	empty	empty	NA
3	L05	empty	empty	NA
3	L06	empty	empty	NA
3	L07	empty	empty	NA
3	L08	empty	empty	NA
3	L09	empty	empty	NA
3	L10	empty	empty	NA
3	L11	empty	empty	NA
3	L12	empty	empty	NA
3	L13	empty	empty	NA
3	L14	empty	empty	NA
3	L15	empty	empty	NA
3	L16	empty	empty	NA
3	L17	empty	empty	NA
3	L18	empty	empty	NA
3	L19	empty	empty	NA
3	L20	empty	empty	NA
3	L21	empty	empty	NA
3	L22	empty	empty	NA
3	L23	empty	empty	NA
3	L24	empty	empty	NA
3	N01	empty	empty	NA
3	N02	empty	empty	NA
3	N03	empty	empty	NA
3	N04	empty	empty	NA
3	N05	empty	empty	NA
3	N06	empty	empty	NA
3	N07	empty	empty	NA
3	N08	empty	empty	NA
3	N09	empty	empty	NA
3	N10	empty	empty	NA
3	N11	empty	empty	NA
3	N12	empty	empty	NA
3	N13	empty	empty	NA
3	N14	empty	empty	NA
3	N15	empty	empty	NA
3	N16	empty	empty	NA
3	N17	empty	empty	NA
3	N18	empty	empty	NA
3	N19	empty	empty	NA
3	N20	empty	empty	NA
3	N21	empty	empty	NA
3	N22	empty	empty	NA
3	N23	empty	empty	NA
3	N24	empty	empty	NA
3	P01	empty	empty	NA
3	P02	empty	empty	NA
3	P03	empty	empty	NA
3	P04	empty	empty	NA
3	P05	empty	empty	NA
3	P06	empty	empty	NA
3	P07	empty	empty	NA
3	P08	empty	empty	NA
3	P09	empty	empty	NA
3	P10	empty	empty	NA
3	P11	empty	empty	NA
3	P12	empty	empty	NA
3	P13	empty	empty	NA
3	P14	empty	empty	NA
3	P15	empty	empty	NA
3	P16	empty	empty	NA
3	P17	empty	empty	NA
3	P18	empty	empty	NA
3	P19	empty	empty	NA
3	P20	empty	empty	NA
3	P21	empty	empty	NA
3	P22	empty	empty	NA
3	P23	empty	empty	NA
3	P24	empty	empty	NA
5	B17	sample	ENO1	NA
5	B19	sample	ENO2	NA
5	B21	sample	ENO3	NA
4	B21	sample	ENPP7	NA
3	C22	sample	EP300	NA
2	F17	sample	EPHA1	2041
1	I12	sample	EPHA10	284656
2	E07	sample	EPHA2	1969
2	K08	sample	EPHA3	2042
5	D05	sample	EPHA3	2042
3	M03	sample	EPHA4	2043
1	C08	sample	EPHA5	2044
2	H12	sample	EPHA6	285220
1	B14	sample	EPHA7	2045
1	A07	sample	EPHA8	2046
2	P16	sample	EPHB1	2047
2	O18	sample	EPHB2	2048
3	G07	sample	EPHB3	2049
3	G13	sample	EPHB4	2050
1	H04	sample	EPHB6	2051
4	I21	sample	EPM2A	NA
1	H11	sample	ERBB2	2064
5	D07	sample	ERBB2	2064
2	B17	sample	ERBB3	2065
2	J19	sample	ERBB4	2066
7	L03	sample	ERCC1	NA
3	E04	sample	ERCC2	NA
7	J03	sample	ERCC2	NA
3	E06	sample	ERCC3	NA
7	H21	sample	ERCC3	NA
3	E08	sample	ERCC4	NA
7	L05	sample	ERCC4	NA
3	E10	sample	ERCC5	NA
7	J21	sample	ERCC5	NA
7	L11	sample	ERCC6	NA
7	L09	sample	ERCC8	NA
1	O08	sample	ERK8	225689
2	G12	sample	ERN1	2081
5	D09	sample	ERN1	2081
2	C14	sample	ERN2	10595
5	D11	sample	ETFA	NA
5	D13	sample	ETFB	NA
1	O06	sample	ETNK1	55500
7	H06	sample	EXO1	NA
6	B06	sample	EXOC7	NA
3	E17	sample	EXOSC10	5394
3	E12	sample	EXT1	NA
3	E14	sample	EXT2	NA
4	H03	sample	EYA1	NA
4	I07	sample	EYA2	NA
4	D06	sample	EYA3	NA
4	E07	sample	EYA4	NA
6	D09	sample	FADD	NA
5	D15	sample	FAH	NA
3	E16	sample	FANCA	NA
7	J22	sample	FANCA	NA
7	L04	sample	FANCB	NA
3	E18	sample	FANCC	NA
7	L06	sample	FANCC	NA
3	E20	sample	FANCD2	NA
7	L08	sample	FANCD2	NA
3	E22	sample	FANCE	NA
7	L10	sample	FANCE	NA
3	G04	sample	FANCF	NA
