Plate	Well	PreCursor	Gene_symbol	Gene_ID
1	E14	NM_003157	NEK4	6787
1	E15	NM_016508	CDKL3	51265
1	E16	NM_022048	CSNK1G1	53944
1	E17	NM_003954	MAP3K14	9020
1	E18	NM_031480	RIOK1	83732
1	E19	NM_145333	MAP3K7	6885
1	E20	NM_001014431	AKT1	207
1	E21	NM_001823	CKB	1152
1	E22	NM_001100594	SNRK	54861
1	E23			
1	E24			
1	F01			
1	F02			
1	F03	NM_001894	CSNK1E	1454
1	F04	NM_003656	CAMK1	8536
1	F05	NM_021975	RELA	5970
1	F06	NM_002376	MARK3	4140
1	F07	NM_012119	CCRK	23552
1	F08	NM_153361	MGC42105	167359
1	F09	NM_002752	MAPK9	5601
1	F10	NM_001274	CHEK1	1111
1	F11	NM_005781	TNK2	10188
1	F12	NM_001075099	SCAP1	8631
1	F13	NM_152835	PDIK1L	149420
1	F14	NM_033529	CDC2L2	728642
1	F15	NM_001699	AXL	558
1	F16	NM_006281	STK3	6788
1	F17	NM_020639	ANKRD3	54101
1	F18	NM_002020	FLT4	2324
1	F19	NM_003804	RIPK1	8737
1	F20	NM_033487	CDC2L1	984
1	F21	NM_006035	CDC42BPB	9578
1	F22	NM_145185	MAP2K7	5609
1	F23			
1	F24			
1	G01			
1	G02			
1	G03	NM_001786	CDC2	983
1	G04	NM_032430	KIAA1811	84446
1	G05	NM_006875	PIM2	11040
1	G06	NM_002611	PDK2	5164
1	G07	NM_198578	LRRK2	120892
1	G08	NM_033118	MYLK2	85366
1	G09	NM_000189	HK2	3099
1	G10	NM_145910	NEK11	79858
1	G11	NM_022158	FN3K	64122
1	G12	NM_020791	KIAA1361	57551
1	G13	NM_016441	CRIM1	51232
1	G14	NM_173354	SNF1LK	150094
1	G15	NM_002650	PIK4CA	5297
1	G16	NM_002822	PTK9	5756
1	G17	NM_032037	SSTK	83983
1	G18	NM_004690	LATS1	9113
1	G19	NM_004783	TAO1	9344
1	G20	NM_002627	PFKP	5214
1	G21	NM_002513	NME3	4832
1	G22	NM_006258	PRKG1	5592
1	G23			
1	G24			
1	H01			
1	H02			
1	H03	NM_000215	JAK3	3718
1	H04	NM_004445	EPHB6	2051
1	H05	NM_032028	STK22D	83942
1	H06	NM_018650	MARK1	4139
1	H07	NM_023108	FGFR1	2260
1	H08	NM_004157	PRKAR2A	5576
1	H09	NM_007254	PNKP	11284
1	H10	NM_032409	PINK1	65018
1	H11	NM_004448	ERBB2	2064
1	H12	NM_005592	MUSK	4593
1	H13	NM_002733	PRKAG1	5571
1	H14	NM_014683	ULK2	9706
1	H15	NM_018208	FLJ10761	55224
1	H16	NM_024046	MGC8407	79012
1	H17	NM_000875	IGF1R	3480
1	H18	NM_198437	AURKA	6790
1	H19	NM_033116	NEK9	91754
1	H20	NM_001014834	PAK4	10298
1	H21	NM_032237	FLJ23356	84197
1	H22	NM_138957	MAPK1	5594
1	H23			
1	H24			
1	I01			
1	I02			
1	I03	NM_017431	PRKAG3	53632
1	I04	NM_018343	RIOK2	55781
1	I05	NM_005308	GRK5	2869
1	I06	NM_004958	FRAP1	2475
1	I07	NM_002314	LIMK1	3984
1	I08	NM_006207	PDGFRL	5157
1	I09	NM_012474	UMPK	7371
1	I10	NM_152327	AK7	122481
1	I11	NM_022458	C7ORF2	64327
1	I12	NM_173641	EPHA10	284656
1	I13	NM_014238	KSR	8844
1	I14	NM_004226	STK17B	9262
1	I15	NM_004834	MAP4K4	9448
1	I16	NM_003995	NPR2	4882
1	I17	NM_005813	PRKCN	23683
1	I18	NM_005113	GOLGA5	9950
1	I19	NM_032538	TTBK1	84630
1	I20	NM_003576	STK24	8428
1	I21	NM_005406	ROCK1	6093
1	I22	NM_004080	DGKB	1607
1	I23			
1	I24			
1	J01			
1	J02			
1	J03	NM_004119	FLT3	2322
1	J04	NM_198828	MAST4	375449
1	J05	NM_005028	PIP5K2A	5305
1	J06	NM_001099735	CKMT2	1160
1	J07	NM_004938	DAPK1	1612
1	J08	NM_003629	PIK3R3	8503
1	J09	NM_006712	FASTK	10922
1	J10	NM_001616	ACVR2	92
1	J11	NM_006259	PRKG2	5593
1	J12	NM_001002838	PRKWNK3	65267
1	J13	NM_002436	MPP1	4354
1	J14	NM_002744	PRKCZ	5590
1	J15	NM_014365	HSPB8	26353
1	J16	NM_005546	ITK	3702
1	J17	NM_005211	CSF1R	1436
1	J18	NM_172207	CAMKK1	84254
1	J19	NM_003583	DYRK2	8445
1	J20	NM_015690	STK36	27148
1	J21	NM_006256	PRKCL2	5586
1	J22	NM_139047	MAPK8	5599
1	J23			
1	J24			
1	K01			
1	K02			
1	K03	NM_000459	TEK	7010
1	K04	NM_006374	STK25	10494
1	K05	NM_138316	PANK1	53354
1	K06	NM_003503	CDC7	8317
1	K07	NM_001044722	CSNK1G3	1456
1	K08	NM_001222	CAMK2G	818
1	K09	NM_001827	CKS2	1164
1	K10	NM_017859	URKL1	54963
1	K11	NM_000294	PHKG2	5261
1	K12	NM_033141	MAP3K9	4293
1	K13	NM_002749	MAPK7	5598
1	K14	NM_000180	GUCY2D	3000
1	K15	NM_144633	KCNH8	131096
1	K16	NM_172215	CAMKK2	10645
1	K17	NM_001221	CAMK2D	817
1	K18	XM_290923	KIAA1639	57729
1	K19	NM_006575	MAP4K5	11183
1	K20	NM_018584	CAMKIILPHA	55450
1	K21	NM_013355	PKN3	29941
1	K22	NM_001093772	KIT	3815
1	K23			
1	K24			
1	L01			
1	L02			
1	L03	NM_004586	RPS6KA3	6197
1	L04	NM_004612	TGFBR1	7046
1	L05	NM_005227	EF4	1945
1	L06	NM_003936	CDK5R2	8941
1	L07	NM_020421	ADCK1	57143
1	L08	NM_138370	LOC91461	91461
1	L09	NM_005204	MAP3K8	1326
1	L10	NM_001080826	DKFZP761P0423	157285
1	L11	NM_001260	CDK8	1024
1	L12	NM_199462	DUSTYPK	25778
1	L13	NM_198973	MKNK1	8569
1	L14	NM_032237	FLJ23356	84197
1	L15	NM_004570	PIK3C2G	5288
1	L16	NM_005391	PDK3	5165
1	L17	NM_000075	CDK4	1019
1	L18	NM_201554	DGKA	1606
1	L19	NM_002648	PIM1	5292
1	L20	NM_022755	C9ORF12	64768
1	L21	NM_001347	DGKQ	1609
1	L22	NM_005975	PTK6	5753
1	L23			
1	L24			
1	M01			
1	M02			
1	M03	NM_138292	ATM	472
1	M04	NM_002741	PRKCL1	5585
1	M05	NM_000292	PHKA2	5256
1	M06	NM_003821	RIPK2	8767
1	M07	NM_018238	MULK	55750
1	M08	NM_020990	CKMT1B	1159
1	M09	NM_001004105	GRK6	2870
1	M10	NM_017572	MKNK2	2872
1	M11	NM_001203	BMPR1B	658
1	M12	NM_015978	TNNI3K	51086
1	M13	NM_030906	STK33	65975
1	M14	NM_139158	ALS2CR7	65061
1	M15	NM_020778	MIDORI	57538
1	M16	NM_002110	HCK	3055
1	M17	NM_021133	RSEL	6041
1	M18	NM_001826	CKS1B	1163
1	M19	NM_001008910	STK16	8576
1	M20	NM_017593	BMP2K	55589
1	M21	NM_002929	GRK1	6011
1	M22	NM_000293	PHKB	5257
1	M23			
1	M24			
1	N01			
1	N02			
1	N03	NM_006301	MAP3K12	7786
1	N04	NM_002576	PAK1	5058
1	N05	NM_052841	STK22C	81629
1	N06	NM_002958	RYK	6259
1	N07	NM_018425	PI4KII	55361
1	N08	NM_003681	PDXK	8566
1	N09	NM_153809	TAF1L	138474
1	N10	NM_178170	NEK8	284086
1	N11	NM_020439	CAMK1G	57172
1	N12	NM_000167	GK	2710
1	N13	NM_017525	HSMDPKIN	55561
1	N14	NM_173598	KSR2	283455
1	N15	NM_005990	STK10	6793
1	N16	NM_002734	PRKAR1A	5573
1	N17	NM_012301	AIP1	9863
1	N18	NM_012346	NUP62	23636
1	N19	NM_005157	ABL1	25
1	N20	NM_004560	ROR2	4920
1	N21	NM_020168	PAK6	56924
1	N22	NM_024779	PIP5K2C	79837
1	N23			
1	N24			
1	O01			
1	O02			
1	O03	NM_006510	RFP	5987
1	O04	NM_007118	TRIO	7204
1	O05	NM_173492	PIP5KL1	138429
1	O06	NM_001039481	ETNK1	55500
1	O07	NM_199289	NEK5	341676
1	O08	NM_139021	ERK8	225689
1	O09	NM_006622	PLK2	10769
1	O10	NM_031284	ADP-GK	83440
1	O11	NM_001319	CSNK1G2	1455
1	O12	NM_002649	PIK3CG	5294
1	O13	NM_001039468	MARK2	2011
1	O14	NM_000142	FGFR3	2261
1	O15	NM_015028	TNIK	23043
1	O16	NM_016123	IRAK4	51135
1	O17	NM_005184	CALM3	808
1	O18	NM_002596	PCTK3	5129
1	O19	NM_002654	PKM2	5315
1	O20	NM_016276	SGK2	10110
1	O21	NM_001037343	CDKL5	6792
1	O22	NM_003845	DYRK4	8798
1	O23			
1	O24			
1	P01			
1	P02			
1	P03	NM_024619	FN3KRP	79672
1	P04	NM_001105	ACVR1	90
1	P05	NM_001626	AKT2	208
1	P06	NM_002731	PRKACB	5567
1	P07	NM_025164	KIAA0999	23387
1	P08	NM_013233	STK39	27347
1	P09	NM_014264	PLK4	10733
1	P10	NM_139354	MATK	4145
1	P11	NM_001048200	HIPK3	10114
1	P12	NM_003161	RPS6KB1	6198
1	P13	NM_006293	TYRO3	7301
1	P14	NM_018339	RFK	55312
1	P15	NM_001109891	MAPK3	5595
1	P16	NM_173500	TTBK2	146057
1	P17	NM_005433	YES1	7525
1	P18	NM_014826	CDC42BPA	8476
1	P19	NM_033516	NYD-SP25	89882
1	P20	NM_031965	GSG2	83903
1	P21	NM_030911	CDADC1	81602
1	P22	NM_152696	HIPK1	204851
1	P23			
1	P24			
2	A01			
2	A02			
2	A03	NM_002419	MAP3K11	4296
2	A04	NM_003010	MAP2K4	6416
2	A05	NM_004217	AURKB	9212
2	A06	NM_023018	FLJ13052	65220
2	A07	NM_001031801	LIMK2	3985
2	A08	NM_006852	TLK2	11011
2	A09	NM_001004057	GRK4	2868
2	A10	NM_201629	TJP2	9414
2	A11	NM_001012418	LOC340156	340156
2	A12	NM_174922	ADCK5	203054
2	A13	NM_005044	PRKX	5613
2	A14	NM_002751	MAPK11	5600
2	A15	NM_005476	GNE	10020
2	A16	NM_138733	PGK2	5232
2	A17	NM_002735	PRKAR1B	5575
2	A18	NM_001211	BUB1B	701
2	A19	NM_000431	MVK	4598
2	A20	NM_002757	MAP2K5	5607
2	A21	NM_032471	PKIB	5570
2	A22	NM_001102406	LAK	80216
2	A23			
2	A24			
2	B01			
2	B02			
2	B03	NM_020630	RET	5979
2	B04	NM_014791	MELK	9833
2	B05	NM_002758	MAP2K6	5608
2	B06	NM_006255	PRKCH	5583
2	B07	NM_012424	RPS6KC1	26750
2	B08	NM_002578	PAK3	5063
2	B09	NM_013330	NME7	29922
2	B10	NM_002625	PFKFB1	5207
2	B11	NM_002446	MAP3K10	4294
2	B12	NM_014215	INSRR	3645
2	B13	NM_031432	UCK1	83549
2	B14	NM_001364	DLG2	1740
2	B15	NM_000141	FGFR2	2263
2	B16	NM_152671	PIP5K3	200576
2	B17	NM_001005915	ERBB3	2065
2	B18	NM_004329	BMPR1A	657
2	B19	NM_152720	NEK3	4752
2	B20	NM_175886	PRPS1L1	221823
2	B21	NM_005713	COL4A3BP	10087
2	B22	NM_000876	IGF2R	3482
2	B23			
2	B24			
2	C01			
2	C02			
2	C03	NM_004935	CDK5	1020
2	C04	NM_001799	CDK7	1022
2	C05	NM_024876	ADCK4	79934
2	C06	NM_024652	LRRK1	79705
2	C07	NM_014413	HRI	27102
2	C08	NM_144610	FLJ25006	124923
2	C09	NM_004635	MAPKAPK3	7867
2	C10	NM_139013	MAPK14	1432
2	C11	NM_001106	ACVR2B	93
2	C12	NM_013254	TBK1	29110
2	C13	NM_201283	EGFR	1956
2	C14	NM_033266	ERN2	10595
2	C15	NM_002944	ROS1	6098
2	C16	NM_002740	PRKCI	5584
2	C17	NM_002115	HK3	3101
2	C18	NM_014002	IKBKE	9641
2	C19	NM_006182	DDR2	4921
2	C20	NM_145203	CSNK1A1L	122011
2	C21	NM_014326	DAPK2	23604
2	C22	NM_003557	PIP5K1A	8394
2	C23			
2	C24			
2	D01			
2	D02			
2	D03	NM_031267	CDC2L5	8621
2	D04	NM_003243	TGFBR3	7049
2	D05	NM_004304	ALK	238
2	D06	NM_016308	UMP-CMPK	51727
2	D07	NM_005876	SPEG	10290
2	D08	NM_212469	CHKA	1119
2	D09	NM_033550	TP53RK	112858
2	D10	NM_032387	WNK4	65266
2	D11	NM_001962	EF5	1946
2	D12	NM_001006665	RPS6KA1	6195
2	D13	NM_002754	MAPK13	5603
2	D14	NM_054111	IHPK3	117283
2	D15	NM_021643	TRIB2	28951
2	D16	NM_001721	BMX	660
2	D17	NM_152910	DGKH	160851
2	D18	NM_020666	CLK4	57396
2	D19	NM_002031	FRK	2444
2	D20	NM_002577	PAK2	5062
2	D21	NM_006219	PIK3CB	5291
2	D22	XM_001134406	LOC390226	390226
2	D23			
2	D24			
2	E01			
2	E02			
2	E03	NM_014216	ITPK1	3705
2	E04	NM_004760	STK17A	9263
2	E05	AJ277481	ILK-2	55522
2	E06	NM_031272	TEX14	56155
2	E07	NM_004431	EPHA2	1969
2	E08	NM_004759	MAPKAPK2	9261
2	E09	NM_006213	PHKG1	5260
2	E10	NM_206961	LTK	4058
2	E11	NM_145059	FUK	197258
2	E12	NM_003688	CASK	8573
2	E13	NM_013410	AK3	205
2	E14	NM_004714	DYRK1B	9149
2	E15	NM_001896	CSNK2A2	1459
2	E16	NM_001024401	SBK1	388228
2	E17	NM_006296	VRK2	7444
2	E18	NM_006201	PCTK1	5127
2	E19	NM_003947	KALRN	8997
2	E20	NM_006724	MAP3K4	4216
2	E21	NM_001654	ARAF1	369
2	E22	NM_015000	STK38L	23012
2	E23			
2	E24			
2	F01			
2	F02			
2	F03	NM_172056	KCNH2	3757
2	F04	NM_001892	CSNK1A1	1452
2	F05	NM_004196	CDKL1	8814
2	F06	NM_001018139	NME2	4831
2	F07	NM_001018064	NTRK2	4915
2	F08	NM_005906	MAK	4117
2	F09	NM_001080395	AATK	9625
2	F10	NM_005026	PIK3CD	5293
2	F11	NM_002739	PRKCG	5582
2	F12	NM_004672	MAP3K6	9064
2	F13	NM_007271	STK38	11329
2	F14	NM_001726	BRDT	676
2	F15	NM_006556	PMVK	10654
2	F16	NM_001013703	EIF2AK4	440275
2	F17	NM_005232	EPHA1	2041
2	F18	NM_005793	NME6	10201
2	F19	NM_002880	RAF1	5894
2	F20	NM_130438	DYRK1A	1859
2	F21	NM_002743	PRKCSH	5589
2	F22	NM_001744	CAMK4	814
2	F23			
2	F24			
2	G01			
2	G02			
2	G03	NM_021574	BCR	613
2	G04	NM_032017	MGC4796	83931
2	G05	NM_000788	DCK	1633
2	G06	NM_006823	PKIA	5569
2	G07	NM_033115	MGC16169	93627
2	G08	NM_022128	RBKS	64080
2	G09	NM_032028	STK22D	83942
2	G10	NM_002637	PHKA1	5255
2	G11	NM_006947	SRP72	6731
2	G12	NM_001433	ERN1	2081
2	G13	NM_004717	DGKI	9162
2	G14	NM_018423	STYK1	55359
2	G15	NM_004383	CSK	1445
2	G16	NM_014840	ARK5	9891
2	G17	NM_003640	IKBKAP	8518
2	G18	NM_003558	PIP5K1B	8395
2	G19	NM_005160	ADRBK2	157
2	G20	NM_080918	DGUOK	1716
2	G21	NM_014920	ICK	22858
2	G22	NM_024594	PANK3	79646
2	G23			
2	G24			
2	H01			
2	H02			
2	H03	NM_006254	PRKCD	5580
2	H04	NM_016281	JIK	51347
2	H05	NM_001184	ATR	545
2	H06	NM_181871	PKLR	5313
2	H07	NM_015981	CAMK2A	815
2	H08	NM_020341	PAK7	57144
2	H09	NM_002253	KDR	3791
2	H10	NM_003384	VRK1	7443
2	H11	NM_004606	TAF1	6872
2	H12	NM_173655	EPHA6	285220
2	H13	NM_015076	CDK11	23097
2	H14	NM_004963	GUCY2C	2984
2	H15	NM_030952	SRK	81788
2	H16	NM_001039582	PNCK	139728
2	H17	NM_001048218	SCYL1	57410
2	H18	NM_001025778	VRK3	51231
2	H19	NM_005399	PRKAB2	5565
2	H20	NM_006206	PDGFRA	5156
2	H21	NM_032017	MGC4796	83931
2	H22	NM_013994	DDR1	780
2	H23			
2	H24			
2	I01			
2	I02			
2	I03	NM_052853	ADCK2	90956
2	I04	NM_182691	SRPK2	6733
2	I05	NM_018323	PI4K2B	55300
2	I06	NM_003993	CLK2	1196
2	I07	NM_021158	TRIB3	57761
2	I08	NM_003242	TGFBR2	7048
2	I09	NM_001018046	FLJ23074	80122
2	I10	NM_053006	STK22B	23617
2	I11	NM_022740	HIPK2	28996
2	I12	NM_005255	GAK	2580
2	I13	NM_002764	PRPS1	5631
2	I14	NM_001006932	RPS6KA2	6196
2	I15	NM_001893	CSNK1D	1453
2	I16	NM_002748	MAPK6	5597
2	I17	NM_003582	DYRK3	8444
2	I18	NM_139209	GRK7	131890
2	I19	NM_003331	TYK2	7297
2	I20	NM_001619	ADRBK1	156
2	I21	NM_017433	MYO3A	53904
2	I22	NM_052987	CDK10	8558
2	I23			
2	I24			
2	J01			
2	J02			
2	J03	NM_018401	STK32B	55351
2	J04	NM_007284	PTK9L	11344
2	J05	NM_153497	MAP3K7IP1	10454
2	J06	NM_002645	PIK3C2A	5286
2	J07	NM_002759	PRKR	5610
2	J08	NM_145001	STK32A	202374
2	J09	NM_006871	RIPK3	11035
2	J10	NM_005316	GTF2H1	2965
2	J11	NM_017886	ULK4	54986
2	J12	NM_018492	TOPK	55872
2	J13	NM_020126	SPHK2	56848
2	J14	NM_016653	ZAK	51776
2	J15	NM_006285	TESK1	7016
2	J16	NM_002612	PDK4	5166
2	J17	NM_001320	CSNK2B	1460
2	J18	NM_001278	CHUK	1147
2	J19	NM_001042599	ERBB4	2066
2	J20	NM_001042482	TPK1	27010
2	J21	NM_004567	PFKFB4	5210
2	J22	NM_174944	C14ORF20	283629
2	J23			
2	J24			
2	K01			
2	K02			
2	K03	NM_021972	SPHK1	8877
2	K04	NM_000389	CDKN1A	1026
2	K05	NM_006716	ASK	10926
2	K06	NM_024960	PANK2	80025
2	K07	NM_002609	PDGFRB	5159
2	K08	NM_182644	EPHA3	2042
2	K09	NM_001042729	FGR	2268
2	K10	NM_001017423	PYCS	5832
2	K11	NM_001083592	ROR1	4919
2	K12	NM_001006115	IHPK1	9807
2	K13	NM_015083	CRK7	51755
2	K14	NM_014299	BRD4	23476
2	K15	NM_004064	CDKN1B	1027
2	K16	NM_003215	TEC	7006
2	K17	NM_020804	PACSIN1	29993
2	K18	NM_000144	FRDA	2395
2	K19	NM_001348	DAPK3	1613
2	K20	NM_002765	PRPS2	5634
2	K21	NM_181504	PIK3R1	5295
2	K22	NM_012093	AK5	26289
2	K23			
2	K24			
2	L01			
2	L02			
2	L03	NM_004203	PKMYT1	9088
2	L04	NM_001001852	PIM3	415116
2	L05	NM_020423	PACE-1	57147
2	L06	NM_001080434	LMTK3	114783
2	L07	NM_001556	IKBKB	3551
2	L08	NM_145862	CHEK2	11200
2	L09	NM_004721	MAP3K13	9175
2	L10	NM_002227	JAK1	3716
2	L11	NM_020397	CAMK1D	57118
2	L12	NM_004836	EIF2AK3	9451
2	L13	NM_007199	IRAK3	11213
2	L14	NM_002647	PIK3C3	5289
2	L15	NM_005372	MOS	4342
2	L16	NM_004850	ROCK2	9475
2	L17	NM_003559	PIP5K2B	8396
2	L18	NM_002646	PIK3C2B	5287
2	L19	NM_006282	STK4	6789
2	L20	NM_005627	SGK	6446
2	L21	NM_004742	BAIAP1	9223
2	L22	NM_001292	CLK3	1198
2	L23			
2	L24			
2	M01			
2	M02			
2	M03	NM_002760	PRKY	5616
2	M04	NM_015112	MAST2	23139
2	M05	NM_005921	MAP3K1	4214
2	M06	NM_003885	CDK5R1	8851
2	M07	NM_001079	ZAP70	7535
2	M08	NM_003390	WEE1	7465
2	M09	NM_014370	STK23	26576
2	M10	NM_001259	CDK6	1021
2	M11	NM_152881	PTK7	5754
2	M12	NM_079421	CDKN2D	1032
2	M13	NM_031464	RPS6KL1	83694
2	M14	NM_006257	PRKCQ	5588
2	M15	NM_014496	RPS6KA6	27330
2	M16	NM_024429	PRKAG2	51422
2	M17	NM_003137	SRPK1	6732
2	M18	NM_002401	MAP3K3	4215
2	M19	NM_207518	PRKACA	5566
2	M20	NM_021923	FGFRL1	53834
2	M21	NM_004103	PTK2B	2185
2	M22	NM_000269	NME1	4830
2	M23			
2	M24			
2	N01			
2	N02			
2	N03	NM_014720	SLK	9748
2	N04	NM_017771	PXK	54899
2	N05	NM_000076	CDKN1C	1028
2	N06	NM_014586	HUNK	30811
2	N07	NM_012398	PIP5K1C	23396
2	N08	NM_007181	MAP4K1	11184
2	N09	NM_002626	PFKL	5211
2	N10	NM_002595	PCTK2	5128
2	N11	NM_002591	PCK1	5105
2	N12	NM_001079817	INSR	3643
2	N13	NM_001261	CDK9	1025
2	N14	NM_144685	HIPK4	147746
2	N15	NM_002011	FGFR4	2264
2	N16	NM_015191	SIK2	23235
2	N17	NM_005207	CRKL	1399
2	N18	NM_000245	MET	4233
2	N19	NM_182398	RPS6KA5	9252
2	N20	NM_153048	FYN	2534
2	N21	NM_173575	STK32C	282974
2	N22	NM_001099436	DKFZP434C131	25989
2	N23			
2	N24			
2	O01			
2	O02			
2	O03	NM_006343	MERTK	10461
2	O04	NM_003985	TNK1	8711
2	O05	NM_022766	CERK	64781
2	O06	NM_003957	STK29	9024
2	O07	NM_022731	NUCKS	64710
2	O08	NM_002530	NTRK3	4916
2	O09	NM_007174	CIT	11113
2	O10	NM_014916	LMTK2	22853
2	O11	NM_001009565	CDKL4	344387
2	O12	NM_012145	DTYMK	1841
2	O13	NM_024776	KIAA2002	79834
2	O14	NM_014602	PIK3R4	30849
2	O15	NM_005109	OSR1	9943
2	O16	NM_000162	GCK	2645
2	O17	NM_014226	RAGE	5891
2	O18	NM_017449	EPHB2	2048
2	O19	NM_001204	BMPR2	659
2	O20	NM_013257	SGKL	23678
2	O21	NM_178564	NRBP2	340371
2	O22	NM_020730	DLG3	1741
2	O23			
2	O24			
2	P01			
2	P02			
2	P03	NM_001079882	PRKD2	25865
2	P04	NM_014975	SAST	22983
2	P05	NM_172207	CAMKK1	84254
2	P06	NM_002497	NEK2	4751
2	P07	NM_001003786	LYK5	92335
2	P08	NM_003668	MAPKAPK5	8550
2	P09	NM_012071	COMMD3	23412
2	P10	NM_198465	NRK	203447
2	P11	NM_004614	TK2	7084
2	P12	NM_001018053	PFKFB2	5208
2	P13	NM_177560	CSNK2A1	1457
2	P14	NM_031417	MARK4	57787
2	P15	NM_080823	SRMS	6725
2	P16	NM_004441	EPHB1	2047
2	P17	NM_004579	MAP4K2	5871
2	P18	NM_152900	MAGI-3	260425
2	P19	NM_032430	KIAA1811	84446
2	P20	NM_032037	SSTK	83983
2	P21	NM_002610	PDK1	5163
2	P22	NM_001099856	IKBKG	8517
2	P23			
2	P24			
3	A01			
3	A02			
3	A03	NM_018177	N4BP2	55728
3	A04	NM_000377	WAS	7454
3	A05	NM_012224	NEK1	4750
3	A06	NM_144606	BHD	201163
3	A07	NM_005108	XYLB	9942
3	A08	NM_006060	ZNFN1A1	10320
3	A09	NM_001042452	RP6-213H19.1	51765
3	A10	NM_004484	GPC3	2719
3	A11	NM_015092	SMG1	23049
3	A12	NM_000038	APC	324
3	A13	NM_016291	IHPK2	51447
3	A14	NM_138292	ATM	472
3	A15	NM_001014794	ILK	3611
3	A16	NM_000057	BLM	641
3	A17	NM_033126	PSKH2	85481
3	A18	NM_004329	BMPR1A	657
3	A19	NM_013392	NRBP	29959
3	A20	NM_007298	BRCA1	672
3	A21	NM_003565	ULK1	8408
3	A22	NM_000059	BRCA2	675
3	A23			
3	A24			
3	B01			
3	B02			
3	B03			
3	B04			
3	B05			
3	B06			
3	B07			
3	B08			
3	B09			
3	B10			
3	B11			
3	B12			
3	B13			
3	B14			
3	B15			
3	B16			
3	B17			
