Plate	Well	Conf	GeneID	Entrez_gene_ID_ks	Entrez_gene_ID_ts	Entrez_gene_ID_dr	Entrez_gene_ID_met
5	E17	sample	ADD2	NA	NA	NA	119
5	E19	sample	ADD3	NA	NA	NA	120
5	E21	sample	ADH1A	NA	NA	NA	124
1	E07	sample	ADK	132	NA	NA	NA
1	O10	sample	ADP-GK	83440	NA	NA	NA
7	E07	sample	ADPN	NA	NA	NA	80339
2	I20	sample	ADRBK1	156	NA	NA	NA
2	G19	sample	ADRBK2	157	NA	NA	NA
5	G03	sample	ADSL	NA	NA	NA	158
5	G05	sample	ADSS	NA	NA	NA	159
7	C19	sample	AGMAT	NA	NA	NA	79814
7	C03	sample	AGXT2	NA	NA	NA	64902
7	A21	sample	AGXT2L1	NA	NA	NA	64850
1	N17	sample	AIP1	9863	NA	NA	NA
1	C18	sample	AK1	203	NA	NA	203
5	G07	sample	AK1	203	NA	NA	203
3	M21	sample	AK2	204	NA	NA	204
5	G09	sample	AK2	204	NA	NA	204
2	E13	sample	AK3	205	NA	NA	205
5	G11	sample	AK3	205	NA	NA	205
3	E21	sample	AK3L1	50808	NA	NA	50808
6	H18	sample	AK3L1	50808	NA	NA	50808
2	K22	sample	AK5	26289	NA	NA	26289
6	F06	sample	AK5	26289	NA	NA	26289
1	I10	sample	AK7	122481	NA	NA	122481
7	K19	sample	AK7	122481	NA	NA	122481
6	P11	sample	AKAP10	NA	NA	NA	11216
1	E20	sample	AKT1	207	NA	NA	207
5	G13	sample	AKT1	207	NA	NA	207
1	P05	sample	AKT2	208	NA	NA	208
5	G15	sample	AKT2	208	NA	NA	208
1	B06	sample	AKT3	10000	NA	NA	10000
6	J09	sample	AKT3	10000	NA	NA	10000
5	G17	sample	ALDH1A1	NA	NA	NA	216
6	F09	sample	ALDH1A2	NA	NA	NA	8854
5	I05	sample	ALDH1A3	NA	NA	NA	220
5	I03	sample	ALDH1B1	NA	NA	NA	219
5	G19	sample	ALDH2	NA	NA	NA	217
5	G21	sample	ALDH3A1	NA	NA	NA	218
5	I13	sample	ALDH3A2	NA	NA	NA	224
5	I07	sample	ALDH3B1	NA	NA	NA	221
5	I09	sample	ALDH3B2	NA	NA	NA	222
6	O10	sample	ALDH5A1	NA	NA	NA	7915
5	J18	sample	ALDH6A1	NA	NA	NA	4329
5	O11	sample	ALDH7A1	NA	NA	NA	501
5	I11	sample	ALDH9A1	NA	NA	NA	223
5	I15	sample	ALDOA	NA	NA	NA	226
5	I17	sample	ALDOB	NA	NA	NA	229
5	I19	sample	ALDOC	NA	NA	NA	230
6	P12	sample	ALDRL6	NA	NA	NA	55586
2	D05	sample	ALK	238	NA	NA	NA
7	D21	sample	ALKBH2	NA	NA	121642	NA
7	F03	sample	ALKBH3	NA	NA	221120	NA
1	A01	neg	allstar	NA	NA	NA	NA
1	A02	neg	allstar	NA	NA	NA	NA
1	A23	neg	allstar	NA	NA	NA	NA
1	A24	neg	allstar	NA	NA	NA	NA
1	B01	neg	allstar	NA	NA	NA	NA
1	B02	neg	allstar	NA	NA	NA	NA
1	B23	neg	allstar	NA	NA	NA	NA
1	B24	neg	allstar	NA	NA	NA	NA
1	C01	neg	allstar	NA	NA	NA	NA
1	C02	neg	allstar	NA	NA	NA	NA
1	C23	neg	allstar	NA	NA	NA	NA
1	C24	neg	allstar	NA	NA	NA	NA
1	D01	neg	allstar	NA	NA	NA	NA
1	D02	neg	allstar	NA	NA	NA	NA
1	D23	neg	allstar	NA	NA	NA	NA
1	D24	neg	allstar	NA	NA	NA	NA
2	A01	neg	allstar	NA	NA	NA	NA
2	A02	neg	allstar	NA	NA	NA	NA
2	A23	neg	allstar	NA	NA	NA	NA
2	A24	neg	allstar	NA	NA	NA	NA
2	B01	neg	allstar	NA	NA	NA	NA
2	B02	neg	allstar	NA	NA	NA	NA
2	B23	neg	allstar	NA	NA	NA	NA
2	B24	neg	allstar	NA	NA	NA	NA
2	C01	neg	allstar	NA	NA	NA	NA
2	C02	neg	allstar	NA	NA	NA	NA
2	C23	neg	allstar	NA	NA	NA	NA
2	C24	neg	allstar	NA	NA	NA	NA
2	D01	neg	allstar	NA	NA	NA	NA
2	D02	neg	allstar	NA	NA	NA	NA
2	D23	neg	allstar	NA	NA	NA	NA
2	D24	neg	allstar	NA	NA	NA	NA
3	A01	neg	allstar	NA	NA	NA	NA
3	A02	neg	allstar	NA	NA	NA	NA
3	A23	neg	allstar	NA	NA	NA	NA
3	A24	neg	allstar	NA	NA	NA	NA
3	C01	neg	allstar	NA	NA	NA	NA
3	C02	neg	allstar	NA	NA	NA	NA
3	C23	neg	allstar	NA	NA	NA	NA
3	C24	neg	allstar	NA	NA	NA	NA
4	A01	neg	allstar	NA	NA	NA	NA
4	A02	neg	allstar	NA	NA	NA	NA
4	A23	neg	allstar	NA	NA	NA	NA
4	A24	neg	allstar	NA	NA	NA	NA
4	B01	neg	allstar	NA	NA	NA	NA
4	B02	neg	allstar	NA	NA	NA	NA
4	B23	neg	allstar	NA	NA	NA	NA
4	B24	neg	allstar	NA	NA	NA	NA
4	C01	neg	allstar	NA	NA	NA	NA
4	C02	neg	allstar	NA	NA	NA	NA
4	C23	neg	allstar	NA	NA	NA	NA
4	C24	neg	allstar	NA	NA	NA	NA
4	D01	neg	allstar	NA	NA	NA	NA
4	D02	neg	allstar	NA	NA	NA	NA
4	D23	neg	allstar	NA	NA	NA	NA
4	D24	neg	allstar	NA	NA	NA	NA
5	A01	neg	allstar	NA	NA	NA	NA
5	A02	neg	allstar	NA	NA	NA	NA
5	A23	neg	allstar	NA	NA	NA	NA
5	A24	neg	allstar	NA	NA	NA	NA
5	B01	neg	allstar	NA	NA	NA	NA
5	B02	neg	allstar	NA	NA	NA	NA
5	B23	neg	allstar	NA	NA	NA	NA
5	B24	neg	allstar	NA	NA	NA	NA
5	C01	neg	allstar	NA	NA	NA	NA
5	C02	neg	allstar	NA	NA	NA	NA
5	C23	neg	allstar	NA	NA	NA	NA
5	C24	neg	allstar	NA	NA	NA	NA
5	D01	neg	allstar	NA	NA	NA	NA
5	D02	neg	allstar	NA	NA	NA	NA
5	D23	neg	allstar	NA	NA	NA	NA
5	D24	neg	allstar	NA	NA	NA	NA
6	A01	neg	allstar	NA	NA	NA	NA
6	A02	neg	allstar	NA	NA	NA	NA
6	A23	neg	allstar	NA	NA	NA	NA
6	A24	neg	allstar	NA	NA	NA	NA
6	B01	neg	allstar	NA	NA	NA	NA
6	B02	neg	allstar	NA	NA	NA	NA
6	B23	neg	allstar	NA	NA	NA	NA
6	B24	neg	allstar	NA	NA	NA	NA
6	C01	neg	allstar	NA	NA	NA	NA
6	C02	neg	allstar	NA	NA	NA	NA
6	C23	neg	allstar	NA	NA	NA	NA
6	C24	neg	allstar	NA	NA	NA	NA
6	D01	neg	allstar	NA	NA	NA	NA
6	D02	neg	allstar	NA	NA	NA	NA
6	D23	neg	allstar	NA	NA	NA	NA
6	D24	neg	allstar	NA	NA	NA	NA
7	A01	neg	allstar	NA	NA	NA	NA
7	A02	neg	allstar	NA	NA	NA	NA
7	A23	neg	allstar	NA	NA	NA	NA
7	A24	neg	allstar	NA	NA	NA	NA
7	B01	neg	allstar	NA	NA	NA	NA
7	B02	neg	allstar	NA	NA	NA	NA
7	B23	neg	allstar	NA	NA	NA	NA
7	B24	neg	allstar	NA	NA	NA	NA
7	C01	neg	allstar	NA	NA	NA	NA
7	C02	neg	allstar	NA	NA	NA	NA
7	C23	neg	allstar	NA	NA	NA	NA
7	C24	neg	allstar	NA	NA	NA	NA
7	D01	neg	allstar	NA	NA	NA	NA
7	D02	neg	allstar	NA	NA	NA	NA
7	D23	neg	allstar	NA	NA	NA	NA
7	D24	neg	allstar	NA	NA	NA	NA
4	G04	sample	ALPI	NA	NA	NA	NA
4	E03	sample	ALPL	NA	NA	NA	NA
4	O20	sample	ALPP	NA	NA	NA	NA
4	A21	sample	ALPPL2	NA	NA	NA	NA
1	E03	sample	ALS2CR2	55437	NA	NA	NA
1	M14	sample	ALS2CR7	65061	NA	NA	NA
5	I21	sample	AMD1	NA	NA	NA	262
3	I03	sample	AMHR2	269	NA	NA	NA
5	K03	sample	AMPD1	NA	NA	NA	270
5	K05	sample	AMPD2	NA	NA	NA	271
5	K07	sample	AMPD3	NA	NA	NA	272
5	K09	sample	AMT	NA	NA	NA	275
5	K11	sample	ANG	NA	NA	NA	283
6	F20	sample	ANGPTL3	NA	NA	NA	27329
1	A14	sample	ANKK1	255239	NA	NA	NA
1	F17	sample	ANKRD3	54101	NA	NA	NA
3	A12	sample	APC	NA	324	NA	NA
7	D05	sample	APEX1	NA	NA	328	NA
7	D07	sample	APEX2	NA	NA	27301	NA
5	K19	sample	APOC2	NA	NA	NA	344
5	K21	sample	APOC3	NA	NA	NA	345
5	M03	sample	APOE	NA	NA	NA	348
5	M05	sample	APOH	NA	NA	NA	350
5	M07	sample	APRT	NA	NA	NA	353
6	N05	sample	APS	NA	NA	NA	10603
7	H08	sample	APTX	NA	NA	54840	NA
2	E21	sample	ARAF1	369	NA	NA	369
5	M09	sample	ARAF1	369	NA	NA	369
5	M11	sample	ARG1	NA	NA	NA	383
5	M13	sample	ARG2	NA	NA	NA	384
6	D20	sample	ARH	NA	NA	NA	26119
2	G16	sample	ARK5	9891	NA	NA	NA
5	M15	sample	ARL2	NA	NA	NA	402
6	F14	sample	ASAHL	NA	NA	NA	27163
2	K05	sample	ASK	10926	NA	NA	NA
5	M19	sample	ASL	NA	NA	NA	435
5	M21	sample	ASNS	NA	NA	NA	440
5	O03	sample	ASPA	NA	NA	NA	443
7	E03	sample	ASRGL1	NA	NA	NA	80150
5	O05	sample	ASS	NA	NA	NA	445
5	K08	sample	ATF2	NA	NA	NA	1386
5	O07	sample	ATIC	NA	NA	NA	471
1	M03	sample	ATM	472	472	472	NA
3	A14	sample	ATM	472	472	472	NA
7	J18	sample	ATM	472	472	472	NA
5	O09	sample	ATP5A1	NA	NA	NA	498
5	O13	sample	ATP5B	NA	NA	NA	506
5	O15	sample	ATP5C1	NA	NA	NA	509
5	O17	sample	ATP5D	NA	NA	NA	513
5	O19	sample	ATP5E	NA	NA	NA	514
5	O21	sample	ATP5F1	NA	NA	NA	515
5	A04	sample	ATP5G1	NA	NA	NA	516
5	A06	sample	ATP5G2	NA	NA	NA	517
5	A08	sample	ATP5G3	NA	NA	NA	518
6	L09	sample	ATP5H	NA	NA	NA	10476
5	A10	sample	ATP5I	NA	NA	NA	521
5	A12	sample	ATP5J	NA	NA	NA	522
5	A05	sample	ATP5J2	NA	NA	NA	9551
6	N09	sample	ATP5L	NA	NA	NA	10632
5	A14	sample	ATP5O	NA	NA	NA	539
6	F10	sample	ATP5S	NA	NA	NA	27109
6	L04	sample	ATP8A2	NA	NA	NA	51761
2	H05	sample	ATR	545	NA	545	NA
7	P04	sample	ATR	545	NA	545	NA
7	C04	sample	ATRIP	NA	NA	84126	NA
5	A16	sample	AUH	NA	NA	NA	549
1	H18	sample	AURKA	6790	NA	NA	NA
2	A05	sample	AURKB	9212	NA	NA	NA
1	C14	sample	AURKC	6795	NA	NA	NA
1	F15	sample	AXL	558	NA	NA	NA
7	M13	sample	B3GAT2	NA	NA	NA	135152
6	F04	sample	B3GAT3	NA	NA	NA	26229
2	L21	sample	BAIAP1	9223	NA	NA	NA
6	B03	sample	BBOX1	NA	NA	NA	8424
5	A18	sample	BCAT1	NA	NA	NA	586
5	A20	sample	BCAT2	NA	NA	NA	587
5	A22	sample	BCKDHA	NA	NA	NA	593
5	C04	sample	BCKDHB	NA	NA	NA	594
1	B15	sample	BCKDK	10295	NA	NA	NA
5	A03	sample	BCL2L11	NA	NA	NA	10018
2	G03	sample	BCR	613	NA	NA	613
5	C06	sample	BCR	613	NA	NA	613
6	D03	sample	BECN1	NA	NA	NA	8678
3	A06	sample	BHD	NA	201163	NA	NA
5	C08	sample	BHMT	NA	NA	NA	635
1	B21	sample	BLK	640	NA	NA	NA
3	A16	sample	BLM	NA	641	641	NA
7	J12	sample	BLM	NA	641	641	NA
1	M20	sample	BMP2K	55589	NA	NA	NA
2	B18	sample	BMPR1A	657	657	NA	NA
3	A18	sample	BMPR1A	657	657	NA	NA
1	M11	sample	BMPR1B	658	NA	NA	NA
2	O19	sample	BMPR2	659	NA	NA	NA
2	D16	sample	BMX	660	NA	NA	NA
4	P17	sample	BPGM	NA	NA	NA	669
5	C10	sample	BPGM	NA	NA	NA	669
4	G06	sample	BPNT1	NA	NA	NA	NA
3	I21	sample	BRAF	673	NA	NA	673
5	C12	sample	BRAF	673	NA	NA	673
3	A20	sample	BRCA1	NA	672	672	NA
7	N21	sample	BRCA1	NA	672	672	NA
3	A22	sample	BRCA2	NA	675	675	NA
7	P03	sample	BRCA2	NA	675	675	NA
1	B22	sample	BRD2	6046	NA	NA	NA
1	C15	sample	BRD3	8019	NA	NA	NA
2	K14	sample	BRD4	23476	NA	NA	NA
2	F14	sample	BRDT	676	NA	NA	NA
3	C04	sample	BRIP1	NA	83990	83990	NA
7	L18	sample	BRIP1	NA	83990	83990	NA
7	B04	sample	BTBD12	NA	NA	84464	NA
1	D17	sample	BTK	695	NA	NA	NA
1	D07	sample	BUB1	699	NA	NA	NA
2	A18	sample	BUB1B	701	701	NA	NA
3	C06	sample	BUB1B	701	701	NA	NA
3	K21	sample	C10ORF89	118672	NA	NA	NA
2	J22	sample	C14ORF20	283629	NA	NA	NA
7	N06	sample	C19orf40	NA	NA	91442	NA
7	J20	sample	C7ORF11	NA	NA	136647	NA
1	I11	sample	C7ORF2	64327	NA	NA	NA
1	L20	sample	C9ORF12	64768	NA	NA	64768
7	A17	sample	C9ORF12	64768	NA	NA	64768
4	I18	sample	C9ORF67	NA	NA	NA	NA
3	I11	sample	C9ORF96	169436	NA	NA	NA
5	C16	sample	CA12	NA	NA	NA	771
5	C14	sample	CA9	NA	NA	NA	768
5	C20	sample	CAD	NA	NA	NA	790
7	O03	sample	CAGLP	NA	NA	NA	163688
1	A22	sample	CALM1	801	NA	NA	801
5	C22	sample	CALM1	801	NA	NA	801
3	C19	sample	CALM2	805	NA	NA	805
5	E04	sample	CALM2	805	NA	NA	805
1	O17	sample	CALM3	808	NA	NA	808
5	E06	sample	CALM3	808	NA	NA	808
5	E08	sample	CALML3	NA	NA	NA	810
1	F04	sample	CAMK1	8536	NA	NA	NA
2	L11	sample	CAMK1D	57118	NA	NA	NA
1	N11	sample	CAMK1G	57172	NA	NA	NA
2	H07	sample	CAMK2A	815	NA	NA	NA
1	A21	sample	CAMK2B	816	NA	NA	NA
1	K17	sample	CAMK2D	817	NA	NA	NA
1	K08	sample	CAMK2G	818	NA	NA	NA
2	F22	sample	CAMK4	814	NA	NA	NA
1	K20	sample	CAMKIILPHA	55450	NA	NA	NA
1	J18	sample	CAMKK1	84254	NA	NA	NA
2	P05	sample	CAMKK1	84254	NA	NA	NA
1	K16	sample	CAMKK2	10645	NA	NA	NA
6	L17	sample	CAP1	NA	NA	NA	10487
6	L15	sample	CAP2	NA	NA	NA	10486
1	E05	sample	CARKL	23729	NA	NA	NA
2	E12	sample	CASK	8573	NA	NA	NA
5	E10	sample	CASP3	NA	NA	NA	836
6	D04	sample	CBLC	NA	NA	NA	23624
5	E12	sample	CBS	NA	NA	NA	875
7	J17	sample	CCNH	NA	NA	902	NA
5	I04	sample	CCR5	NA	NA	NA	1234
1	F07	sample	CCRK	23552	NA	NA	NA
5	E16	sample	CD33	NA	NA	NA	945
5	E14	sample	CD4	NA	NA	NA	920
5	E22	sample	CD81	NA	NA	NA	975
1	P21	sample	CDADC1	81602	NA	NA	NA
4	D08	sample	CDC14A	NA	NA	NA	NA
4	M22	sample	CDC14B	NA	NA	NA	NA
1	G03	sample	CDC2	983	NA	NA	983
5	G04	sample	CDC2	983	NA	NA	983
4	A15	sample	CDC25A	NA	NA	NA	NA
4	I22	sample	CDC25B	NA	NA	NA	NA
4	E19	sample	CDC25C	NA	NA	NA	995
5	G06	sample	CDC25C	NA	NA	NA	995
1	F20	sample	CDC2L1	984	NA	NA	NA
1	F14	sample	CDC2L2	728642	NA	NA	NA
2	D03	sample	CDC2L5	8621	NA	NA	NA
1	P18	sample	CDC42BPA	8476	NA	NA	NA
1	F21	sample	CDC42BPB	9578	NA	NA	NA
1	K06	sample	CDC7	8317	NA	NA	NA
3	C08	sample	CDH1	NA	999	NA	NA
2	I22	sample	CDK10	8558	NA	NA	NA
2	H13	sample	CDK11	23097	NA	NA	NA
3	C13	sample	CDK2	1017	NA	NA	NA
3	K17	sample	CDK3	1018	NA	NA	NA
1	L17	sample	CDK4	1019	NA	NA	NA
2	C03	sample	CDK5	1020	NA	1020	NA
7	C12	sample	CDK5	1020	NA	1020	NA
2	M06	sample	CDK5R1	8851	NA	NA	NA
1	L06	sample	CDK5R2	8941	NA	NA	8941
6	F15	sample	CDK5R2	8941	NA	NA	8941
2	M10	sample	CDK6	1021	NA	NA	NA
2	C04	sample	CDK7	1022	NA	1022	NA
7	J15	sample	CDK7	1022	NA	1022	NA
1	L11	sample	CDK8	1024	NA	NA	NA
2	N13	sample	CDK9	1025	NA	NA	NA
2	F05	sample	CDKL1	8814	NA	NA	NA
3	C05	sample	CDKL2	8999	NA	NA	NA
1	E15	sample	CDKL3	51265	NA	NA	NA
2	O11	sample	CDKL4	344387	NA	NA	NA
1	O21	sample	CDKL5	6792	NA	NA	NA
2	K04	sample	CDKN1A	1026	NA	NA	1026
5	G08	sample	CDKN1A	1026	NA	NA	1026
2	K15	sample	CDKN1B	1027	NA	NA	1027
5	G10	sample	CDKN1B	1027	NA	NA	1027
2	N05	sample	CDKN1C	1028	NA	NA	NA
3	C10	sample	CDKN2A	NA	1029	NA	NA
3	C12	sample	CDKN2A	NA	1029	NA	NA
3	I07	sample	CDKN2B	1030	NA	NA	NA
1	D04	sample	CDKN2C	1031	NA	NA	NA
2	M12	sample	CDKN2D	1032	NA	NA	NA
4	A20	sample	CDKN3	NA	NA	NA	NA
5	G12	sample	CEL	NA	NA	NA	1056
2	O05	sample	CERK	64781	NA	NA	NA
7	H09	sample	CETN2	NA	NA	1069	NA
6	F07	sample	CFLAR	NA	NA	NA	8837
7	J08	sample	CHAF1A	NA	NA	10036	NA
5	G14	sample	CHAT	NA	NA	NA	1103
6	P06	sample	CHDH	NA	NA	NA	55349
1	F10	sample	CHEK1	1111	NA	1111	NA
7	P16	sample	CHEK1	1111	NA	1111	NA
2	L08	sample	CHEK2	11200	11200	11200	11200
3	C14	sample	CHEK2	11200	11200	11200	11200
6	P09	sample	CHEK2	11200	11200	11200	11200
7	P18	sample	CHEK2	11200	11200	11200	11200
6	F12	sample	CHIA	NA	NA	NA	27159
2	D08	sample	CHKA	1119	NA	NA	1119
5	G16	sample	CHKA	1119	NA	NA	1119
3	G17	sample	CHKB	1120	NA	NA	1120
5	G18	sample	CHKB	1120	NA	NA	1120
6	B11	sample	CHST1	NA	NA	NA	8534
2	J18	sample	CHUK	1147	NA	NA	1147
5	G20	sample	CHUK	1147	NA	NA	1147
1	D10	sample	CIB2	10518	NA	NA	NA
4	O21	sample	CILP	NA	NA	NA	NA
2	O09	sample	CIT	11113	NA	NA	NA
1	E21	sample	CKB	1152	NA	NA	NA
3	E05	sample	CKM	1158	NA	NA	NA
1	M08	sample	CKMT1B	1159	NA	NA	1159
5	G22	sample	CKMT1B	1159	NA	NA	1159
1	J06	sample	CKMT2	1160	NA	NA	NA
1	M18	sample	CKS1B	1163	NA	NA	NA
1	K09	sample	CKS2	1164	NA	NA	NA
6	K04	sample	CLDN5	NA	NA	NA	7122
1	C22	sample	CLK1	1195	NA	NA	NA
2	I06	sample	CLK2	1196	NA	1196	NA
7	C08	sample	CLK2	1196	NA	1196	NA
2	L22	sample	CLK3	1198	NA	NA	NA
2	D18	sample	CLK4	57396	NA	NA	NA
7	O05	sample	CLYBL	NA	NA	NA	171425
6	P18	sample	CMAS	NA	NA	NA	55907
1	A11	sample	COASY	80347	NA	NA	NA
2	B21	sample	COL4A3BP	10087	NA	NA	NA
2	P09	sample	COMMD3	23412	NA	NA	NA
3	C16	sample	COPEB	NA	1316	NA	NA
6	F18	sample	COQ2	NA	NA	NA	27235
6	L08	sample	COQ3	NA	NA	NA	51805
5	I14	sample	COX11	NA	NA	NA	1353
6	H09	sample	COX5A	NA	NA	NA	9377
5	I06	sample	COX6A1	NA	NA	NA	1337
5	I08	sample	COX6A2	NA	NA	NA	1339
5	I10	sample	COX7A1	NA	NA	NA	1346
5	I12	sample	COX7A2	NA	NA	NA	1347
6	H05	sample	COX7A2L	NA	NA	NA	9167
1	D22	sample	CPNE3	8895	NA	NA	NA
5	I16	sample	CPS1	NA	NA	NA	1373
5	I18	sample	CPT1A	NA	NA	NA	1374
5	I20	sample	CPT1B	NA	NA	NA	1375
7	M07	sample	CPT1C	NA	NA	NA	126129
5	I22	sample	CPT2	NA	NA	NA	1376
5	K04	sample	CRAT	NA	NA	NA	1384
5	K06	sample	CREB1	NA	NA	NA	1385
6	L19	sample	CREB3	NA	NA	NA	10488
7	I05	sample	CREB3L1	NA	NA	NA	90993
7	A15	sample	CREB3L2	NA	NA	NA	64764
7	G11	sample	CREB3L3	NA	NA	NA	84699
7	M17	sample	CREB3L4	NA	NA	NA	148327
6	H19	sample	CREB5	NA	NA	NA	9586
1	G13	sample	CRIM1	51232	NA	NA	NA
5	K10	sample	CRK	NA	NA	NA	1398
2	K13	sample	CRK7	51755	NA	NA	NA
2	N17	sample	CRKL	1399	NA	NA	NA
6	N10	sample	CROT	NA	NA	NA	54677
5	K12	sample	CS	NA	NA	NA	1431
1	J17	sample	CSF1R	1436	NA	NA	NA
2	G15	sample	CSK	1445	NA	NA	NA
2	F04	sample	CSNK1A1	1452	NA	NA	NA
2	C20	sample	CSNK1A1L	122011	NA	NA	NA
2	I15	sample	CSNK1D	1453	NA	NA	NA
1	F03	sample	CSNK1E	1454	NA	NA	NA
1	E16	sample	CSNK1G1	53944	NA	NA	NA
1	O11	sample	CSNK1G2	1455	NA	NA	NA
1	K07	sample	CSNK1G3	1456	NA	NA	NA
2	P13	sample	CSNK2A1	1457	NA	NA	NA
2	E15	sample	CSNK2A2	1459	NA	NA	NA
2	J17	sample	CSNK2B	1460	NA	NA	NA
5	K18	sample	CTBS	NA	NA	NA	1486
4	G05	sample	CTDP1	NA	NA	NA	NA
4	A09	sample	CTDSP1	NA	NA	NA	NA
4	K16	sample	CTDSP2	NA	NA	NA	NA
5	K20	sample	CTH	NA	NA	NA	1491
5	K22	sample	CTPS	NA	NA	NA	1503
6	O08	sample	CXCR4	NA	NA	NA	7852
3	C18	sample	CYLD	NA	1540	NA	NA
5	M06	sample	CYP11A1	NA	NA	NA	1583
5	M08	sample	CYP11B1	NA	NA	NA	1584
5	M10	sample	CYP24A1	NA	NA	NA	1591
5	M12	sample	CYP27A1	NA	NA	NA	1593
5	M14	sample	CYP27B1	NA	NA	NA	1594
5	M04	sample	CYP2E1	NA	NA	NA	1571
6	P20	sample	DAP13	NA	NA	NA	55967
1	J07	sample	DAPK1	1612	NA	NA	NA
2	C21	sample	DAPK2	23604	NA	NA	NA
2	K19	sample	DAPK3	1613	NA	NA	NA
5	M16	sample	DBT	NA	NA	NA	1629
3	M05	sample	DCAMKL1	9201	NA	NA	NA
5	M18	sample	DCI	NA	NA	NA	1632
2	G05	sample	DCK	1633	NA	NA	NA
7	N08	sample	DCLRE1A	NA	NA	9937	NA
7	N10	sample	DCLRE1B	NA	NA	64858	NA
7	B18	sample	DCLRE1C	NA	NA	64421	NA
6	B22	sample	DDAH1	NA	NA	NA	23576
6	B20	sample	DDAH2	NA	NA	NA	23564
7	L15	sample	DDB1	NA	NA	1642	NA
3	C20	sample	DDB2	NA	1643	1643	NA
7	L17	sample	DDB2	NA	1643	1643	NA
2	H22	sample	DDR1	780	NA	NA	NA
2	C19	sample	DDR2	4921	NA	NA	NA
5	M20	sample	DECR1	NA	NA	NA	1666
6	H20	sample	DERA	NA	NA	NA	51071
6	D05	sample	DGAT1	NA	NA	NA	8694
7	G07	sample	DGAT2	NA	NA	NA	84649
1	L18	sample	DGKA	1606	NA	NA	NA
1	I22	sample	DGKB	1607	NA	NA	NA
3	G11	sample	DGKD	8527	NA	NA	8527
6	B09	sample	DGKD	8527	NA	NA	8527
1	B09	sample	DGKG	1608	NA	NA	NA
2	D17	sample	DGKH	160851	NA	NA	NA
2	G13	sample	DGKI	9162	NA	NA	NA
1	D03	sample	DGKK	139189	NA	NA	NA
1	L21	sample	DGKQ	1609	NA	NA	NA
2	G20	sample	DGUOK	1716	NA	NA	NA
5	M22	sample	DHFR	NA	NA	NA	1719
5	O04	sample	DHODH	NA	NA	NA	1723
2	N22	sample	DKFZP434C131	25989	NA	NA	NA
4	K09	sample	DKFZP566K0524	NA	NA	NA	NA
7	M15	sample	DKFZP586M1819	NA	NA	NA	137964
4	K12	sample	DKFZP761G058	NA	NA	NA	NA
1	L10	sample	DKFZP761P0423	157285	NA	NA	NA
5	O06	sample	DLAT	NA	NA	NA	1737
5	O08	sample	DLD	NA	NA	NA	1738
3	I09	sample	DLG1	1739	NA	NA	NA
4	I09	sample	DLG1	1739	NA	NA	NA
2	B14	sample	DLG2	1740	NA	NA	NA
