Plate	Well	GeneID	Conf
6	F09	ALDH1A2	sample
5	I05	ALDH1A3	sample
5	I03	ALDH1B1	sample
5	G19	ALDH2	sample
5	G21	ALDH3A1	sample
5	I13	ALDH3A2	sample
5	I07	ALDH3B1	sample
5	I09	ALDH3B2	sample
6	O10	ALDH5A1	sample
5	J18	ALDH6A1	sample
5	O11	ALDH7A1	sample
5	I11	ALDH9A1	sample
5	I15	ALDOA	sample
5	I17	ALDOB	sample
5	I19	ALDOC	sample
6	P12	ALDRL6	sample
2	D05	ALK	sample
7	D21	ALKBH2	sample
7	F03	ALKBH3	sample
1	A01	allstar	neg
1	A02	allstar	neg
1	A23	allstar	neg
1	A24	allstar	neg
1	B01	allstar	neg
1	B02	allstar	neg
1	B23	allstar	neg
1	B24	allstar	neg
1	C01	allstar	neg
1	C02	allstar	neg
1	C23	allstar	neg
1	C24	allstar	neg
1	D01	allstar	neg
1	D02	allstar	neg
1	D23	allstar	neg
1	D24	allstar	neg
2	A01	allstar	neg
2	A02	allstar	neg
2	A23	allstar	neg
2	A24	allstar	neg
2	B01	allstar	neg
2	B02	allstar	neg
2	B23	allstar	neg
2	B24	allstar	neg
2	C01	allstar	neg
2	C02	allstar	neg
2	C23	allstar	neg
2	C24	allstar	neg
2	D01	allstar	neg
2	D02	allstar	neg
2	D23	allstar	neg
2	D24	allstar	neg
3	A01	allstar	neg
3	A02	allstar	neg
3	A23	allstar	neg
3	A24	allstar	neg
3	C01	allstar	neg
3	C02	allstar	neg
3	C23	allstar	neg
3	C24	allstar	neg
4	A01	allstar	neg
4	A02	allstar	neg
4	A23	allstar	neg
4	A24	allstar	neg
4	B01	allstar	neg
4	B02	allstar	neg
4	B23	allstar	neg
4	B24	allstar	neg
4	C01	allstar	neg
4	C02	allstar	neg
4	C23	allstar	neg
4	C24	allstar	neg
4	D01	allstar	neg
4	D02	allstar	neg
4	D23	allstar	neg
4	D24	allstar	neg
5	A01	allstar	neg
5	A02	allstar	neg
5	A23	allstar	neg
5	A24	allstar	neg
5	B01	allstar	neg
5	B02	allstar	neg
5	B23	allstar	neg
5	B24	allstar	neg
5	C01	allstar	neg
5	C02	allstar	neg
5	C23	allstar	neg
5	C24	allstar	neg
5	D01	allstar	neg
5	D02	allstar	neg
5	D23	allstar	neg
5	D24	allstar	neg
6	A01	allstar	neg
6	A02	allstar	neg
6	A23	allstar	neg
6	A24	allstar	neg
6	B01	allstar	neg
6	B02	allstar	neg
6	B23	allstar	neg
6	B24	allstar	neg
6	C01	allstar	neg
6	C02	allstar	neg
6	C23	allstar	neg
6	C24	allstar	neg
6	D01	allstar	neg
6	D02	allstar	neg
6	D23	allstar	neg
6	D24	allstar	neg
7	A01	allstar	neg
7	A02	allstar	neg
7	A23	allstar	neg
7	A24	allstar	neg
7	B01	allstar	neg
7	B02	allstar	neg
7	B23	allstar	neg
7	B24	allstar	neg
7	C01	allstar	neg
7	C02	allstar	neg
7	C23	allstar	neg
7	C24	allstar	neg
7	D01	allstar	neg
7	D02	allstar	neg
7	D23	allstar	neg
7	D24	allstar	neg
4	G04	ALPI	sample
4	E03	ALPL	sample
4	O20	ALPP	sample
4	A21	ALPPL2	sample
1	E03	ALS2CR2	sample
1	M14	ALS2CR7	sample
5	I21	AMD1	sample
3	I03	AMHR2	sample
5	K03	AMPD1	sample
5	K05	AMPD2	sample
5	K07	AMPD3	sample
5	K09	AMT	sample
5	K11	ANG	sample
6	F20	ANGPTL3	sample
1	A14	ANKK1	sample
1	F17	ANKRD3	sample
3	A12	APC	sample
7	D05	APEX1	sample
7	D07	APEX2	sample
5	K19	APOC2	sample
5	K21	APOC3	sample
5	M03	APOE	sample
5	M05	APOH	sample
5	M07	APRT	sample
6	N05	APS	sample
7	H08	APTX	sample
2	E21	ARAF1	sample
5	M09	ARAF1	sample
5	M11	ARG1	sample
5	M13	ARG2	sample
6	D20	ARH	sample
2	G16	ARK5	sample
5	M15	ARL2	sample
6	F14	ASAHL	sample
2	K05	ASK	sample
5	M19	ASL	sample
5	M21	ASNS	sample
5	O03	ASPA	sample
7	E03	ASRGL1	sample
5	O05	ASS	sample
5	K08	ATF2	sample
5	O07	ATIC	sample
1	M03	ATM	sample
3	A14	ATM	sample
7	J18	ATM	sample
5	O09	ATP5A1	sample
5	O13	ATP5B	sample
5	O15	ATP5C1	sample
5	O17	ATP5D	sample
5	O19	ATP5E	sample
5	O21	ATP5F1	sample
5	A04	ATP5G1	sample
5	A06	ATP5G2	sample
5	A08	ATP5G3	sample
6	L09	ATP5H	sample
5	A10	ATP5I	sample
5	A12	ATP5J	sample
5	A05	ATP5J2	sample
6	N09	ATP5L	sample
5	A14	ATP5O	sample
6	F10	ATP5S	sample
6	L04	ATP8A2	sample
2	H05	ATR	sample
7	P04	ATR	sample
7	C04	ATRIP	sample
5	A16	AUH	sample
1	H18	AURKA	sample
2	A05	AURKB	sample
1	C14	AURKC	sample
1	F15	AXL	sample
7	M13	B3GAT2	sample
6	F04	B3GAT3	sample
2	L21	BAIAP1	sample
6	B03	BBOX1	sample
5	A18	BCAT1	sample
5	A20	BCAT2	sample
5	A22	BCKDHA	sample
5	C04	BCKDHB	sample
1	B15	BCKDK	sample
5	A03	BCL2L11	sample
2	G03	BCR	sample
5	C06	BCR	sample
6	D03	BECN1	sample
3	A06	BHD	sample
5	C08	BHMT	sample
1	B21	BLK	sample
3	A16	BLM	sample
7	J12	BLM	sample
1	M20	BMP2K	sample
2	B18	BMPR1A	sample
3	A18	BMPR1A	sample
1	M11	BMPR1B	sample
2	O19	BMPR2	sample
2	D16	BMX	sample
4	P17	BPGM	sample
5	C10	BPGM	sample
4	G06	BPNT1	sample
3	I21	BRAF	sample
5	C12	BRAF	sample
3	A20	BRCA1	sample
7	N21	BRCA1	sample
3	A22	BRCA2	sample
7	P03	BRCA2	sample
1	B22	BRD2	sample
1	C15	BRD3	sample
2	K14	BRD4	sample
2	F14	BRDT	sample
3	C04	BRIP1	sample
7	L18	BRIP1	sample
7	B04	BTBD12	sample
1	D17	BTK	sample
1	D07	BUB1	sample
2	A18	BUB1B	sample
3	C06	BUB1B	sample
3	K21	C10ORF89	sample
2	J22	C14ORF20	sample
7	N06	C19orf40	sample
7	J20	C7ORF11	sample
1	I11	C7ORF2	sample
1	L20	C9ORF12	sample
7	A17	C9ORF12	sample
4	I18	C9ORF67	sample
3	I11	C9ORF96	sample
5	C16	CA12	sample
5	C14	CA9	sample
5	C20	CAD	sample
7	O03	CAGLP	sample
1	A22	CALM1	sample
5	C22	CALM1	sample
3	C19	CALM2	sample
5	E04	CALM2	sample
1	O17	CALM3	sample
5	E06	CALM3	sample
5	E08	CALML3	sample
1	F04	CAMK1	sample
2	L11	CAMK1D	sample
1	N11	CAMK1G	sample
2	H07	CAMK2A	sample
1	A21	CAMK2B	sample
1	K17	CAMK2D	sample
1	K08	CAMK2G	sample
2	F22	CAMK4	sample
1	K20	CAMKIINALPHA	sample
1	J18	CAMKK1	sample
2	P05	CAMKK1	sample
1	K16	CAMKK2	sample
6	L17	CAP1	sample
6	L15	CAP2	sample
1	E05	CARKL	sample
2	E12	CASK	sample
5	E10	CASP3	sample
6	D04	CBLC	sample
5	E12	CBS	sample
7	J17	CCNH	sample
5	I04	CCR5	sample
1	F07	CCRK	sample
5	E16	CD33	sample
5	E14	CD4	sample
5	E22	CD81	sample
1	P21	CDADC1	sample
4	D08	CDC14A	sample
4	M22	CDC14B	sample
1	G03	CDC2	sample
5	G04	CDC2	sample
4	A15	CDC25A	sample
4	I22	CDC25B	sample
4	E19	CDC25C	sample
5	G06	CDC25C	sample
1	F20	CDC2L1	sample
1	F14	CDC2L2	sample
2	D03	CDC2L5	sample
1	P18	CDC42BPA	sample
1	F21	CDC42BPB	sample
1	K06	CDC7	sample
3	C08	CDH1	sample
2	I22	CDK10	sample
2	H13	CDK11	sample
3	C13	CDK2	sample
3	K17	CDK3	sample
1	L17	CDK4	sample
2	C03	CDK5	sample
7	C12	CDK5	sample
2	M06	CDK5R1	sample
1	L06	CDK5R2	sample
6	F15	CDK5R2	sample
2	M10	CDK6	sample
2	C04	CDK7	sample
7	J15	CDK7	sample
1	L11	CDK8	sample
2	N13	CDK9	sample
2	F05	CDKL1	sample
3	C05	CDKL2	sample
1	E15	CDKL3	sample
2	O11	CDKL4	sample
1	O21	CDKL5	sample
2	K04	CDKN1A	sample
5	G08	CDKN1A	sample
2	K15	CDKN1B	sample
5	G10	CDKN1B	sample
2	N05	CDKN1C	sample
3	C10	CDKN2A	sample
3	C12	CDKN2A	sample
3	I07	CDKN2B	sample
1	D04	CDKN2C	sample
2	M12	CDKN2D	sample
4	A20	CDKN3	sample
5	G12	CEL	sample
2	O05	CERK	sample
7	H09	CETN2	sample
6	F07	CFLAR	sample
7	J08	CHAF1A	sample
5	G14	CHAT	sample
6	P06	CHDH	sample
1	F10	CHEK1	sample
7	P16	CHEK1	sample
2	L08	CHEK2	sample
3	C14	CHEK2	sample
6	P09	CHEK2	sample
7	P18	CHEK2	sample
6	F12	CHIA	sample
2	D08	CHKA	sample
5	G16	CHKA	sample
3	G17	CHKB	sample
5	G18	CHKB	sample
6	B11	CHST1	sample
2	J18	CHUK	sample
5	G20	CHUK	sample
1	D10	CIB2	sample
4	O21	CILP	sample
2	O09	CIT	sample
1	E21	CKB	sample
3	E05	CKM	sample
1	M08	CKMT1B	sample
5	G22	CKMT1B	sample
1	J06	CKMT2	sample
1	M18	CKS1B	sample
1	K09	CKS2	sample
6	K04	CLDN5	sample
1	C22	CLK1	sample
2	I06	CLK2	sample
7	C08	CLK2	sample
2	L22	CLK3	sample
2	D18	CLK4	sample
7	O05	CLYBL	sample
6	P18	CMAS	sample
1	A11	COASY	sample
2	B21	COL4A3BP	sample
2	P09	COMMD3	sample
3	C16	COPEB	sample
6	F18	COQ2	sample
6	L08	COQ3	sample
5	I14	COX11	sample
6	H09	COX5A	sample
5	I06	COX6A1	sample
5	I08	COX6A2	sample
5	I10	COX7A1	sample
5	I12	COX7A2	sample
6	H05	COX7A2L	sample
1	D22	CPNE3	sample
5	I16	CPS1	sample
5	I18	CPT1A	sample
5	I20	CPT1B	sample
7	M07	CPT1C	sample
5	I22	CPT2	sample
5	K04	CRAT	sample
5	K06	CREB1	sample
6	L19	CREB3	sample
7	I05	CREB3L1	sample
7	A15	CREB3L2	sample
7	G11	CREB3L3	sample
7	M17	CREB3L4	sample
6	H19	CREB5	sample
1	G13	CRIM1	sample
5	K10	CRK	sample
2	K13	CRK7	sample
2	N17	CRKL	sample
6	N10	CROT	sample
5	K12	CS	sample
1	J17	CSF1R	sample
2	G15	CSK	sample
2	F04	CSNK1A1	sample
2	C20	CSNK1A1L	sample
2	I15	CSNK1D	sample
1	F03	CSNK1E	sample
1	E16	CSNK1G1	sample
1	O11	CSNK1G2	sample
1	K07	CSNK1G3	sample
2	P13	CSNK2A1	sample
2	E15	CSNK2A2	sample
2	J17	CSNK2B	sample
5	K18	CTBS	sample
4	G05	CTDP1	sample
4	A09	CTDSP1	sample
4	K16	CTDSP2	sample
5	K20	CTH	sample
5	K22	CTPS	sample
6	O08	CXCR4	sample
3	C18	CYLD	sample
5	M06	CYP11A1	sample
5	M08	CYP11B1	sample
5	M10	CYP24A1	sample
5	M12	CYP27A1	sample
5	M14	CYP27B1	sample
5	M04	CYP2E1	sample
6	P20	DAP13	sample
1	J07	DAPK1	sample
2	C21	DAPK2	sample
2	K19	DAPK3	sample
5	M16	DBT	sample
3	M05	DCAMKL1	sample
5	M18	DCI	sample
2	G05	DCK	sample
7	N08	DCLRE1A	sample
7	N10	DCLRE1B	sample
7	B18	DCLRE1C	sample
6	B22	DDAH1	sample
6	B20	DDAH2	sample
7	L15	DDB1	sample
3	C20	DDB2	sample
7	L17	DDB2	sample
2	H22	DDR1	sample
2	C19	DDR2	sample
5	M20	DECR1	sample
6	H20	DERA	sample
6	D05	DGAT1	sample
7	G07	DGAT2	sample
1	L18	DGKA	sample
1	I22	DGKB	sample
3	G11	DGKD	sample
6	B09	DGKD	sample
1	B09	DGKG	sample
2	D17	DGKH	sample
2	G13	DGKI	sample
1	D03	DGKK	sample
1	L21	DGKQ	sample
2	G20	DGUOK	sample
5	M22	DHFR	sample
5	O04	DHODH	sample
2	N22	DKFZP434C131	sample
4	K09	DKFZP566K0524	sample
7	M15	DKFZP586M1819	sample
4	K12	DKFZP761G058	sample
1	L10	DKFZP761P0423	sample
5	O06	DLAT	sample
5	O08	DLD	sample
3	I09	DLG1	sample
4	I09	DLG1	sample
2	B14	DLG2	sample
2	O22	DLG3	sample
1	D15	DLG4	sample
4	D11	DLG7	sample
5	O10	DLST	sample
7	N09	DMC1	sample
1	A09	DMPK	sample
6	B21	DNCL1	sample
5	M17	DO	sample
4	A03	DOT1L	sample
6	D19	DPM1	sample
6	D21	DPM2	sample
6	L16	DPM3	sample
6	J08	DSCR5	sample
2	O12	DTYMK	sample
4	H21	DUSP1	sample
4	A05	DUSP10	sample
4	C09	DUSP11	sample
4	J13	DUSP12	sample
4	I08	DUSP13	sample
4	O03	DUSP14	sample
4	K08	DUSP15	sample
4	N09	DUSP16	sample
4	O10	DUSP18	sample
4	O19	DUSP19	sample
4	B13	DUSP2	sample
3	I05	DUSP21	sample
4	K05	DUSP21	sample
4	K20	DUSP22	sample
4	B04	DUSP23	sample
4	O07	DUSP3	sample
4	E13	DUSP4	sample
4	E09	DUSP5	sample
4	N15	DUSP6	sample
4	G22	DUSP7	sample
4	D19	DUSP8	sample
4	F09	DUSP9	sample
1	L12	DUSTYPK	sample
7	D04	DUT	sample
5	O14	DYNC1H1	sample
2	F20	DYRK1A	sample
2	E14	DYRK1B	sample
1	J19	DYRK2	sample
2	I17	DYRK3	sample
1	O22	DYRK4	sample
5	O16	ECHS1	sample
1	A12	EEF2K	sample
1	B13	EFNA3	sample
1	L05	EFNA4	sample
2	D11	EFNA5	sample
3	G05	EFNB3	sample
5	O18	EGF	sample
2	C13	EGFR	sample
5	O20	EGFR	sample
5	O22	EHHADH	sample
7	C17	EHMT1	sample
2	L12	EIF2AK3	sample
2	F16	EIF2AK4	sample
5	B03	EIF4E	sample
6	H11	EIF4E2	sample
5	B05	EIF4EBP1	sample
5	B07	EIF4G1	sample
5	B09	EIF4G2	sample
5	B11	ELF3	sample
5	B13	ELF4	sample
5	B15	ELK1	sample
6	N14	ELOVL2	sample
7	E21	ELOVL3	sample
7	P17	EME1	sample
7	P19	EME2	sample
3	B01	empty	empty
3	B02	empty	empty
3	B03	empty	empty
3	B04	empty	empty
3	B05	empty	empty
3	B06	empty	empty
3	B07	empty	empty
3	B08	empty	empty
3	B09	empty	empty
3	B10	empty	empty
3	B11	empty	empty
3	B12	empty	empty
3	B13	empty	empty
3	B14	empty	empty
3	B15	empty	empty
3	B16	empty	empty
3	B17	empty	empty
3	B18	empty	empty
3	B19	empty	empty
3	B20	empty	empty
3	B21	empty	empty
3	B22	empty	empty
3	B23	empty	empty
3	B24	empty	empty
3	D01	empty	empty
3	D02	empty	empty
3	D03	empty	empty
3	D04	empty	empty
3	D05	empty	empty
3	D06	empty	empty
3	D07	empty	empty
3	D08	empty	empty
3	D09	empty	empty
3	D10	empty	empty
3	D11	empty	empty
3	D12	empty	empty
3	D13	empty	empty
3	D14	empty	empty
3	D15	empty	empty
3	D16	empty	empty
3	D17	empty	empty
3	D18	empty	empty
3	D19	empty	empty
3	D20	empty	empty
3	D21	empty	empty
3	D22	empty	empty
3	D23	empty	empty
3	D24	empty	empty
3	F01	empty	empty
3	F02	empty	empty
3	F03	empty	empty
3	F04	empty	empty
3	F05	empty	empty
3	F06	empty	empty
3	F07	empty	empty
3	F08	empty	empty
3	F09	empty	empty
3	F10	empty	empty
3	F11	empty	empty
3	F12	empty	empty
3	F13	empty	empty
3	F14	empty	empty
3	F15	empty	empty
3	F16	empty	empty
3	F17	empty	empty
3	F18	empty	empty
3	F19	empty	empty
3	F20	empty	empty
3	F21	empty	empty
3	F22	empty	empty
3	F23	empty	empty
3	F24	empty	empty
3	H01	empty	empty
3	H02	empty	empty
3	H03	empty	empty
3	H04	empty	empty
3	H05	empty	empty
3	H06	empty	empty
3	H07	empty	empty
3	H08	empty	empty
3	H09	empty	empty
3	H10	empty	empty
3	H11	empty	empty
3	H12	empty	empty
3	H13	empty	empty
3	H14	empty	empty
3	H15	empty	empty
3	H16	empty	empty
3	H17	empty	empty
3	H18	empty	empty
3	H19	empty	empty
3	H20	empty	empty
3	H21	empty	empty
3	H22	empty	empty
3	H23	empty	empty
3	H24	empty	empty
3	J01	empty	empty
3	J02	empty	empty
3	J03	empty	empty
3	J04	empty	empty
3	J05	empty	empty
3	J06	empty	empty
3	J07	empty	empty
3	J08	empty	empty
3	J09	empty	empty
3	J10	empty	empty
3	J11	empty	empty
3	J12	empty	empty
3	J13	empty	empty
3	J14	empty	empty
3	J15	empty	empty
3	J16	empty	empty
3	J17	empty	empty
3	J18	empty	empty
3	J19	empty	empty
3	J20	empty	empty
3	J21	empty	empty
3	J22	empty	empty
3	J23	empty	empty
3	J24	empty	empty
3	L01	empty	empty
3	L02	empty	empty
3	L03	empty	empty
3	L04	empty	empty
3	L05	empty	empty
3	L06	empty	empty
3	L07	empty	empty
3	L08	empty	empty
3	L09	empty	empty
3	L10	empty	empty
3	L11	empty	empty
3	L12	empty	empty
3	L13	empty	empty
3	L14	empty	empty
3	L15	empty	empty
3	L16	empty	empty
3	L17	empty	empty
3	L18	empty	empty
3	L19	empty	empty
3	L20	empty	empty
3	L21	empty	empty
3	L22	empty	empty
3	L23	empty	empty
3	L24	empty	empty
3	N01	empty	empty
3	N02	empty	empty
3	N03	empty	empty
3	N04	empty	empty
3	N05	empty	empty
3	N06	empty	empty
3	N07	empty	empty
3	N08	empty	empty
3	N09	empty	empty
3	N10	empty	empty
3	N11	empty	empty
3	N12	empty	empty
3	N13	empty	empty
3	N14	empty	empty
3	N15	empty	empty
3	N16	empty	empty
3	N17	empty	empty
3	N18	empty	empty
3	N19	empty	empty
3	N20	empty	empty
3	N21	empty	empty
3	N22	empty	empty
3	N23	empty	empty
3	N24	empty	empty
3	P01	empty	empty
3	P02	empty	empty
3	P03	empty	empty
3	P04	empty	empty
3	P05	empty	empty
3	P06	empty	empty
3	P07	empty	empty
3	P08	empty	empty
3	P09	empty	empty
3	P10	empty	empty
3	P11	empty	empty
3	P12	empty	empty
3	P13	empty	empty
3	P14	empty	empty
3	P15	empty	empty
3	P16	empty	empty
3	P17	empty	empty
3	P18	empty	empty
3	P19	empty	empty
3	P20	empty	empty
3	P21	empty	empty
3	P22	empty	empty
3	P23	empty	empty
3	P24	empty	empty
5	B17	ENO1	sample
5	B19	ENO2	sample
5	B21	ENO3	sample
4	B21	ENPP7	sample
3	C22	EP300	sample
2	F17	EPHA1	sample
1	I12	EPHA10	sample
2	E07	EPHA2	sample
2	K08	EPHA3	sample
5	D05	EPHA3	sample
3	M03	EPHA4	sample
1	C08	EPHA5	sample
2	H12	EPHA6	sample
1	B14	EPHA7	sample
1	A07	EPHA8	sample
2	P16	EPHB1	sample
2	O18	EPHB2	sample
3	G07	EPHB3	sample
3	G13	EPHB4	sample
1	H04	EPHB6	sample
4	I21	EPM2A	sample
1	H11	ERBB2	sample
5	D07	ERBB2	sample
2	B17	ERBB3	sample
2	J19	ERBB4	sample
7	L03	ERCC1	sample
3	E04	ERCC2	sample
7	J03	ERCC2	sample
3	E06	ERCC3	sample
7	H21	ERCC3	sample
3	E08	ERCC4	sample
7	L05	ERCC4	sample
3	E10	ERCC5	sample
7	J21	ERCC5	sample
7	L11	ERCC6	sample
7	L09	ERCC8	sample
1	O08	ERK8	sample
2	G12	ERN1	sample
5	D09	ERN1	sample
2	C14	ERN2	sample
5	D11	ETFA	sample
5	D13	ETFB	sample
1	O06	ETNK1	sample
7	H06	EXO1	sample
6	B06	EXOC7	sample
3	E17	EXOSC10	sample
3	E12	EXT1	sample
3	E14	EXT2	sample
4	H03	EYA1	sample
4	I07	EYA2	sample
4	D06	EYA3	sample
4	E07	EYA4	sample
6	D09	FADD	sample
5	D15	FAH	sample
3	E16	FANCA	sample
7	J22	FANCA	sample
7	L04	FANCB	sample
3	E18	FANCC	sample
7	L06	FANCC	sample
3	E20	FANCD2	sample
7	L08	FANCD2	sample
3	E22	FANCE	sample
7	L10	FANCE	sample
3	G04	FANCF	sample
7	L12	FANCF	sample
3	G06	FANCG	sample
7	L14	FANCG	sample
7	L16	FANCI	sample
7	L20	FANCL	sample
7	L22	FANCM	sample
3	M10	FAS	sample
5	D17	FASN	sample
1	J09	FASTK	sample
4	G14	FBP1	sample
5	D19	FBP1	sample
4	G20	FBP2	sample
3	G08	FBXW7	sample
5	D21	FDX1	sample
5	F03	FDXR	sample
7	F18	FEN1	sample
1	A19	FER	sample
3	C07	FES	sample
1	H07	FGFR1	sample
2	B15	FGFR2	sample
1	O14	FGFR3	sample
2	N15	FGFR4	sample
2	M20	FGFRL1	sample
2	K09	FGR	sample
3	G10	FH	sample
5	F05	FH	sample
1	H15	FLJ10761	sample
2	A06	FLJ13052	sample
6	N12	FLJ20265	sample
6	P14	FLJ20477	sample
6	N16	FLJ20522	sample
6	N18	FLJ20604	sample
3	I14	FLJ21816	sample
7	C15	FLJ21934	sample
4	M17	FLJ22405	sample
2	I09	FLJ23074	sample
1	H21	FLJ23356	sample
1	L14	FLJ23356	sample
4	G17	FLJ23751	sample
2	C08	FLJ25006	sample
4	M15	FLJ25449	sample
4	C19	FLJ32332	sample
1	C04	FLJ32685	sample
1	C17	FLJ34389	sample
7	M11	FLJ34658	sample
7	H14	FLJ35220	sample
3	O04	FLJ39827	sample
6	L03	FLOT1	sample
5	F07	FLOT2	sample
3	O21	FLT1	sample
1	J03	FLT3	sample
5	F09	FLT3	sample
1	F18	FLT4	sample
1	G11	FN3K	sample
7	A11	FN3K	sample
1	P03	FN3KRP	sample
5	F11	FPR1	sample
1	I06	FRAP1	sample
5	F15	FRAP1	sample
2	K18	FRDA	sample
5	F13	FRDA	sample
2	D19	FRK	sample
6	N11	FTCD	sample
2	E11	FUK	sample
2	N20	FYN	sample
4	K13	G6PC	sample
5	F17	G6PC	sample
4	A06	G6PC2	sample
7	A05	G6PC2	sample
4	C17	G6PC3	sample
5	F19	G6PD	sample
6	P15	GABARAP	sample
5	F21	GAD1	sample
5	H03	GAD2	sample
2	I12	GAK	sample
5	H05	GALE	sample
3	O13	GALK1	sample
5	H07	GALK1	sample
3	I15	GALK2	sample
5	H09	GALK2	sample
5	H11	GALT	sample
5	H13	GAMT	sample
5	H15	GAPDH	sample
6	F08	GAPDS	sample
5	H17	GARS	sample
5	H19	GART	sample
5	H21	GAS2	sample
5	J03	GATM	sample
7	A13	GBL	sample
6	B12	GCAT	sample
5	J05	GCDH	sample
2	O16	GCK	sample
5	J07	GCK	sample
5	J17	GCLC	sample
5	J09	GCSH	sample
6	H21	GDA	sample
7	B06	GEN1	sample
5	J11	GFPT1	sample
6	J07	GFPT2	sample
7	P21	GIYD1	sample
1	N12	GK	sample
5	J13	GK	sample
3	M07	GK2	sample
5	J15	GK2	sample
5	J19	GLDC	sample
5	J21	GLP1R	sample
5	L03	GLS	sample
6	F16	GLS2	sample
5	L05	GLUD1	sample
5	L07	GLUD2	sample
5	L09	GLUL	sample
6	J12	GMPR2	sample
6	F03	GMPS	sample
5	L11	GNAI1	sample
5	L13	GNAI2	sample
5	L15	GNAI3	sample
2	A15	GNE	sample
6	J13	GNE	sample
5	L17	GNG11	sample
6	J11	GNPDA1	sample
7	M09	GNPDA2	sample
7	A19	GNPNAT1	sample
1	I18	GOLGA5	sample
5	L19	GOT1	sample
5	L21	GOT2	sample
6	D07	GPAA1	sample
3	A10	GPC3	sample
5	N03	GPD1	sample
5	N05	GPD2	sample
5	N07	GPI	sample
5	N11	GPT	sample
7	G13	GPT2	sample
5	N13	GRB2	sample
1	M21	GRK1	sample
2	A09	GRK4	sample
1	I05	GRK5	sample
1	M09	GRK6	sample
2	I18	GRK7	sample
5	N17	GRM2	sample
5	N19	GRM3	sample
5	N21	GRM4	sample
5	P03	GRM7	sample
1	P20	GSG2	sample
1	D21	GSK3A	sample
3	M17	GSK3B	sample
5	P05	GSK3B	sample
5	P07	GSR	sample
2	J10	GTF2H1	sample
7	J05	GTF2H1	sample
7	J07	GTF2H2	sample
7	J09	GTF2H3	sample
7	J11	GTF2H4	sample
7	J13	GTF2H5	sample
2	H14	GUCY2C	sample
1	K14	GUCY2D	sample
3	M15	GUCY2F	sample
3	E03	GUK1	sample
5	P09	GYS1	sample
5	P11	GYS2	sample
7	J06	H2AFX	sample
5	P13	HADH2	sample
5	P15	HADHA	sample
5	P17	HADHB	sample
5	P19	HADHSC	sample
3	C11	HAK	sample
5	P21	HAL	sample
1	M16	HCK	sample
6	J05	HDAC9	sample
5	B04	HDC	sample
7	N18	HEL308	sample
5	B06	HEXA	sample
5	B08	HEXB	sample
6	P03	HIBADH	sample
5	B10	HIF1A	sample
6	P16	HIF1AN	sample
1	P22	HIPK1	sample
2	I11	HIPK2	sample
1	P11	HIPK3	sample
2	N14	HIPK4	sample
1	C19	HK1	sample
5	B12	HK1	sample
1	G09	HK2	sample
5	B14	HK2	sample
2	C17	HK3	sample
5	B16	HK3	sample
5	B18	HLCS	sample
5	B20	HNF4A	sample
5	B22	HNMT	sample
5	D04	HOXA1	sample
5	D06	HPRT1	sample
5	D08	HRAS	sample
2	C07	HRI	sample
3	G12	HRPT2	sample
6	J06	HSD17B12	sample
6	P13	HSGT1	sample
