Plate	Well	Gene_symbol	Entrez_gene_ID	Sub_lib	PreCursor
1	E01				
1	E02				
1	E03	ALS2CR2	55437	KIN	NM_018571
1	E04	PAPSS2	9060	KIN	NM_004670
1	E05	CARKL	23729	KIN	NM_013276
1	E06	RPS6KB2	6199	KIN	NM_003952
1	E07	ADK	132	KIN	NM_001123
1	E08	PFTK1	5218	KIN	NM_012395
1	E09	ABL2	27	KIN	NM_005158
1	E10	NME5	8382	KIN	NM_003551
1	E11	PLK1	5347	KIN	NM_005030
1	E12	SRC	6714	KIN	NM_005417
1	E13	MINK	50488	KIN	NM_015716
1	E14	NEK4	6787	KIN	NM_003157
1	E15	CDKL3	51265	KIN	NM_016508
1	E16	CSNK1G1	53944	KIN	NM_022048
1	E17	MAP3K14	9020	KIN	NM_003954
1	E18	RIOK1	83732	KIN	NM_031480
1	E19	MAP3K7	6885	KIN	NM_145333
1	E20	AKT1	207	KIN	NM_001014431
1	E21	CKB	1152	KIN	NM_001823
1	E22	SNRK	54861	KIN	NM_001100594
1	E23				
1	E24				
1	F01				
1	F02				
1	F03	CSNK1E	1454	KIN	NM_001894
1	F04	CAMK1	8536	KIN	NM_003656
1	F05	RELA	5970	KIN	NM_021975
1	F06	MARK3	4140	KIN	NM_002376
1	F07	CCRK	23552	KIN	NM_012119
1	F08	MGC42105	167359	KIN	NM_153361
1	F09	MAPK9	5601	KIN	NM_002752
1	F10	CHEK1	1111	KIN	NM_001274
1	F11	TNK2	10188	KIN	NM_005781
1	F12	SCAP1	8631	KIN	NM_001075099
1	F13	PDIK1L	149420	KIN	NM_152835
1	F14	CDC2L2	728642	KIN	NM_033529
1	F15	AXL	558	KIN	NM_001699
1	F16	STK3	6788	KIN	NM_006281
1	F17	ANKRD3	54101	KIN	NM_020639
1	F18	FLT4	2324	KIN	NM_002020
1	F19	RIPK1	8737	KIN	NM_003804
1	F20	CDC2L1	984	KIN	NM_033487
1	F21	CDC42BPB	9578	KIN	NM_006035
1	F22	MAP2K7	5609	KIN	NM_145185
1	F23				
1	F24				
1	G01				
1	G02				
1	G03	CDC2	983	KIN	NM_001786
1	G04	KIAA1811	84446	KIN	NM_032430
1	G05	PIM2	11040	KIN	NM_006875
1	G06	PDK2	5164	KIN	NM_002611
1	G07	LRRK2	120892	KIN	NM_198578
1	G08	MYLK2	85366	KIN	NM_033118
1	G09	HK2	3099	KIN	NM_000189
1	G10	NEK11	79858	KIN	NM_145910
1	G11	FN3K	64122	KIN	NM_022158
1	G12	KIAA1361	57551	KIN	NM_020791
1	G13	CRIM1	51232	KIN	NM_016441
1	G14	SNF1LK	150094	KIN	NM_173354
1	G15	PIK4CA	5297	KIN	NM_002650
1	G16	PTK9	5756	KIN	NM_002822
1	G17	SSTK	83983	KIN	NM_032037
1	G18	LATS1	9113	KIN	NM_004690
1	G19	TAO1	9344	KIN	NM_004783
1	G20	PFKP	5214	KIN	NM_002627
1	G21	NME3	4832	KIN	NM_002513
1	G22	PRKG1	5592	KIN	NM_006258
1	G23				
1	G24				
1	H01				
1	H02				
1	H03	JAK3	3718	KIN	NM_000215
1	H04	EPHB6	2051	KIN	NM_004445
1	H05	STK22D	83942	KIN	NM_032028
1	H06	MARK1	4139	KIN	NM_018650
1	H07	FGFR1	2260	KIN	NM_023108
1	H08	PRKAR2A	5576	KIN	NM_004157
1	H09	PNKP	11284	KIN	NM_007254
1	H10	PINK1	65018	KIN	NM_032409
1	H11	ERBB2	2064	KIN	NM_004448
1	H12	MUSK	4593	KIN	NM_005592
1	H13	PRKAG1	5571	KIN	NM_002733
1	H14	ULK2	9706	KIN	NM_014683
1	H15	FLJ10761	55224	KIN	NM_018208
1	H16	MGC8407	79012	KIN	NM_024046
1	H17	IGF1R	3480	KIN	NM_000875
1	H18	AURKA	6790	KIN	NM_198437
1	H19	NEK9	91754	KIN	NM_033116
1	H20	PAK4	10298	KIN	NM_001014834
1	H21	FLJ23356	84197	KIN	NM_032237
1	H22	MAPK1	5594	KIN	NM_138957
1	H23				
1	H24				
1	I01				
1	I02				
1	I03	PRKAG3	53632	KIN	NM_017431
1	I04	RIOK2	55781	KIN	NM_018343
1	I05	GRK5	2869	KIN	NM_005308
1	I06	FRAP1	2475	KIN	NM_004958
1	I07	LIMK1	3984	KIN	NM_002314
1	I08	PDGFRL	5157	KIN	NM_006207
1	I09	UMPK	7371	KIN	NM_012474
1	I10	AK7	122481	KIN	NM_152327
1	I11	C7ORF2	64327	KIN	NM_022458
1	I12	EPHA10	284656	KIN	NM_173641
1	I13	KSR	8844	KIN	NM_014238
1	I14	STK17B	9262	KIN	NM_004226
1	I15	MAP4K4	9448	KIN	NM_004834
1	I16	NPR2	4882	KIN	NM_003995
1	I17	PRKCN	23683	KIN	NM_005813
1	I18	GOLGA5	9950	KIN	NM_005113
1	I19	TTBK1	84630	KIN	NM_032538
1	I20	STK24	8428	KIN	NM_003576
1	I21	ROCK1	6093	KIN	NM_005406
1	I22	DGKB	1607	KIN	NM_004080
1	I23				
1	I24				
1	J01				
1	J02				
1	J03	FLT3	2322	KIN	NM_004119
1	J04	MAST4	375449	KIN	NM_198828
1	J05	PIP5K2A	5305	KIN	NM_005028
1	J06	CKMT2	1160	KIN	NM_001099735
1	J07	DAPK1	1612	KIN	NM_004938
1	J08	PIK3R3	8503	KIN	NM_003629
1	J09	FASTK	10922	KIN	NM_006712
1	J10	ACVR2	92	KIN	NM_001616
1	J11	PRKG2	5593	KIN	NM_006259
1	J12	PRKWNK3	65267	KIN	NM_001002838
1	J13	MPP1	4354	KIN	NM_002436
1	J14	PRKCZ	5590	KIN	NM_002744
1	J15	HSPB8	26353	KIN	NM_014365
1	J16	ITK	3702	KIN	NM_005546
1	J17	CSF1R	1436	KIN	NM_005211
1	J18	CAMKK1	84254	KIN	NM_172207
1	J19	DYRK2	8445	KIN	NM_003583
1	J20	STK36	27148	KIN	NM_015690
1	J21	PRKCL2	5586	KIN	NM_006256
1	J22	MAPK8	5599	KIN	NM_139047
1	J23				
1	J24				
1	K01				
1	K02				
1	K03	TEK	7010	KIN	NM_000459
1	K04	STK25	10494	KIN	NM_006374
1	K05	PANK1	53354	KIN	NM_138316
1	K06	CDC7	8317	KIN	NM_003503
1	K07	CSNK1G3	1456	KIN	NM_001044722
1	K08	CAMK2G	818	KIN	NM_001222
1	K09	CKS2	1164	KIN	NM_001827
1	K10	URKL1	54963	KIN	NM_017859
1	K11	PHKG2	5261	KIN	NM_000294
1	K12	MAP3K9	4293	KIN	NM_033141
1	K13	MAPK7	5598	KIN	NM_002749
1	K14	GUCY2D	3000	KIN	NM_000180
1	K15	KCNH8	131096	KIN	NM_144633
1	K16	CAMKK2	10645	KIN	NM_172215
1	K17	CAMK2D	817	KIN	NM_001221
1	K18	KIAA1639	57729	KIN	XM_290923
1	K19	MAP4K5	11183	KIN	NM_006575
1	K20	CAMKIILPHA	55450	KIN	NM_018584
1	K21	PKN3	29941	KIN	NM_013355
1	K22	KIT	3815	KIN	NM_001093772
1	K23				
1	K24				
1	L01				
1	L02				
1	L03	RPS6KA3	6197	KIN	NM_004586
1	L04	TGFBR1	7046	KIN	NM_004612
1	L05	EF4	1945	KIN	NM_005227
1	L06	CDK5R2	8941	KIN	NM_003936
1	L07	ADCK1	57143	KIN	NM_020421
1	L08	LOC91461	91461	KIN	NM_138370
1	L09	MAP3K8	1326	KIN	NM_005204
1	L10	DKFZP761P0423	157285	KIN	NM_001080826
1	L11	CDK8	1024	KIN	NM_001260
1	L12	DUSTYPK	25778	KIN	NM_199462
1	L13	MKNK1	8569	KIN	NM_198973
1	L14	FLJ23356	84197	KIN	NM_032237
1	L15	PIK3C2G	5288	KIN	NM_004570
1	L16	PDK3	5165	KIN	NM_005391
1	L17	CDK4	1019	KIN	NM_000075
1	L18	DGKA	1606	KIN	NM_201554
1	L19	PIM1	5292	KIN	NM_002648
1	L20	C9ORF12	64768	KIN	NM_022755
1	L21	DGKQ	1609	KIN	NM_001347
1	L22	PTK6	5753	KIN	NM_005975
1	L23				
1	L24				
1	M01				
1	M02				
1	M03	ATM	472	KIN	NM_138292
1	M04	PRKCL1	5585	KIN	NM_002741
1	M05	PHKA2	5256	KIN	NM_000292
1	M06	RIPK2	8767	KIN	NM_003821
1	M07	MULK	55750	KIN	NM_018238
1	M08	CKMT1B	1159	KIN	NM_020990
1	M09	GRK6	2870	KIN	NM_001004105
1	M10	MKNK2	2872	KIN	NM_017572
1	M11	BMPR1B	658	KIN	NM_001203
1	M12	TNNI3K	51086	KIN	NM_015978
1	M13	STK33	65975	KIN	NM_030906
1	M14	ALS2CR7	65061	KIN	NM_139158
1	M15	MIDORI	57538	KIN	NM_020778
1	M16	HCK	3055	KIN	NM_002110
1	M17	RSEL	6041	KIN	NM_021133
1	M18	CKS1B	1163	KIN	NM_001826
1	M19	STK16	8576	KIN	NM_001008910
1	M20	BMP2K	55589	KIN	NM_017593
1	M21	GRK1	6011	KIN	NM_002929
1	M22	PHKB	5257	KIN	NM_000293
1	M23				
1	M24				
1	N01				
1	N02				
1	N03	MAP3K12	7786	KIN	NM_006301
1	N04	PAK1	5058	KIN	NM_002576
1	N05	STK22C	81629	KIN	NM_052841
1	N06	RYK	6259	KIN	NM_002958
1	N07	PI4KII	55361	KIN	NM_018425
1	N08	PDXK	8566	KIN	NM_003681
1	N09	TAF1L	138474	KIN	NM_153809
1	N10	NEK8	284086	KIN	NM_178170
1	N11	CAMK1G	57172	KIN	NM_020439
1	N12	GK	2710	KIN	NM_000167
1	N13	HSMDPKIN	55561	KIN	NM_017525
1	N14	KSR2	283455	KIN	NM_173598
1	N15	STK10	6793	KIN	NM_005990
1	N16	PRKAR1A	5573	KIN	NM_002734
1	N17	AIP1	9863	KIN	NM_012301
1	N18	NUP62	23636	KIN	NM_012346
1	N19	ABL1	25	KIN	NM_005157
1	N20	ROR2	4920	KIN	NM_004560
1	N21	PAK6	56924	KIN	NM_020168
1	N22	PIP5K2C	79837	KIN	NM_024779
1	N23				
1	N24				
1	O01				
1	O02				
1	O03	RFP	5987	KIN	NM_006510
1	O04	TRIO	7204	KIN	NM_007118
1	O05	PIP5KL1	138429	KIN	NM_173492
1	O06	ETNK1	55500	KIN	NM_001039481
1	O07	NEK5	341676	KIN	NM_199289
1	O08	ERK8	225689	KIN	NM_139021
1	O09	PLK2	10769	KIN	NM_006622
1	O10	ADP-GK	83440	KIN	NM_031284
1	O11	CSNK1G2	1455	KIN	NM_001319
1	O12	PIK3CG	5294	KIN	NM_002649
1	O13	MARK2	2011	KIN	NM_001039468
1	O14	FGFR3	2261	KIN	NM_000142
1	O15	TNIK	23043	KIN	NM_015028
1	O16	IRAK4	51135	KIN	NM_016123
1	O17	CALM3	808	KIN	NM_005184
1	O18	PCTK3	5129	KIN	NM_002596
1	O19	PKM2	5315	KIN	NM_002654
1	O20	SGK2	10110	KIN	NM_016276
1	O21	CDKL5	6792	KIN	NM_001037343
1	O22	DYRK4	8798	KIN	NM_003845
1	O23				
1	O24				
1	P01				
1	P02				
1	P03	FN3KRP	79672	KIN	NM_024619
1	P04	ACVR1	90	KIN	NM_001105
1	P05	AKT2	208	KIN	NM_001626
1	P06	PRKACB	5567	KIN	NM_002731
1	P07	KIAA0999	23387	KIN	NM_025164
1	P08	STK39	27347	KIN	NM_013233
1	P09	PLK4	10733	KIN	NM_014264
1	P10	MATK	4145	KIN	NM_139354
1	P11	HIPK3	10114	KIN	NM_001048200
1	P12	RPS6KB1	6198	KIN	NM_003161
1	P13	TYRO3	7301	KIN	NM_006293
1	P14	RFK	55312	KIN	NM_018339
1	P15	MAPK3	5595	KIN	NM_001109891
1	P16	TTBK2	146057	KIN	NM_173500
1	P17	YES1	7525	KIN	NM_005433
1	P18	CDC42BPA	8476	KIN	NM_014826
1	P19	NYD-SP25	89882	KIN	NM_033516
1	P20	GSG2	83903	KIN	NM_031965
1	P21	CDADC1	81602	KIN	NM_030911
1	P22	HIPK1	204851	KIN	NM_152696
1	P23				
1	P24				
2	A01				
2	A02				
2	A03	MAP3K11	4296	KIN	NM_002419
2	A04	MAP2K4	6416	KIN	NM_003010
2	A05	AURKB	9212	KIN	NM_004217
2	A06	FLJ13052	65220	KIN	NM_023018
2	A07	LIMK2	3985	KIN	NM_001031801
2	A08	TLK2	11011	KIN	NM_006852
2	A09	GRK4	2868	KIN	NM_001004057
2	A10	TJP2	9414	KIN	NM_201629
2	A11	LOC340156	340156	KIN	NM_001012418
2	A12	ADCK5	203054	KIN	NM_174922
2	A13	PRKX	5613	KIN	NM_005044
2	A14	MAPK11	5600	KIN	NM_002751
2	A15	GNE	10020	KIN	NM_005476
2	A16	PGK2	5232	KIN	NM_138733
2	A17	PRKAR1B	5575	KIN	NM_002735
2	A18	BUB1B	701	KIN	NM_001211
2	A19	MVK	4598	KIN	NM_000431
2	A20	MAP2K5	5607	KIN	NM_002757
2	A21	PKIB	5570	KIN	NM_032471
2	A22	LAK	80216	KIN	NM_001102406
2	A23				
2	A24				
2	B01				
2	B02				
2	B03	RET	5979	KIN	NM_020630
2	B04	MELK	9833	KIN	NM_014791
2	B05	MAP2K6	5608	KIN	NM_002758
2	B06	PRKCH	5583	KIN	NM_006255
2	B07	RPS6KC1	26750	KIN	NM_012424
2	B08	PAK3	5063	KIN	NM_002578
2	B09	NME7	29922	KIN	NM_013330
2	B10	PFKFB1	5207	KIN	NM_002625
2	B11	MAP3K10	4294	KIN	NM_002446
2	B12	INSRR	3645	KIN	NM_014215
2	B13	UCK1	83549	KIN	NM_031432
2	B14	DLG2	1740	KIN	NM_001364
2	B15	FGFR2	2263	KIN	NM_000141
2	B16	PIP5K3	200576	KIN	NM_152671
2	B17	ERBB3	2065	KIN	NM_001005915
2	B18	BMPR1A	657	KIN	NM_004329
2	B19	NEK3	4752	KIN	NM_152720
2	B20	PRPS1L1	221823	KIN	NM_175886
2	B21	COL4A3BP	10087	KIN	NM_005713
2	B22	IGF2R	3482	KIN	NM_000876
2	B23				
2	B24				
2	C01				
2	C02				
2	C03	CDK5	1020	KIN	NM_004935
2	C04	CDK7	1022	KIN	NM_001799
2	C05	ADCK4	79934	KIN	NM_024876
2	C06	LRRK1	79705	KIN	NM_024652
2	C07	HRI	27102	KIN	NM_014413
2	C08	FLJ25006	124923	KIN	NM_144610
2	C09	MAPKAPK3	7867	KIN	NM_004635
2	C10	MAPK14	1432	KIN	NM_139013
2	C11	ACVR2B	93	KIN	NM_001106
2	C12	TBK1	29110	KIN	NM_013254
2	C13	EGFR	1956	KIN	NM_201283
2	C14	ERN2	10595	KIN	NM_033266
2	C15	ROS1	6098	KIN	NM_002944
2	C16	PRKCI	5584	KIN	NM_002740
2	C17	HK3	3101	KIN	NM_002115
2	C18	IKBKE	9641	KIN	NM_014002
2	C19	DDR2	4921	KIN	NM_006182
2	C20	CSNK1A1L	122011	KIN	NM_145203
2	C21	DAPK2	23604	KIN	NM_014326
2	C22	PIP5K1A	8394	KIN	NM_003557
2	C23				
2	C24				
2	D01				
2	D02				
2	D03	CDC2L5	8621	KIN	NM_031267
2	D04	TGFBR3	7049	KIN	NM_003243
2	D05	ALK	238	KIN	NM_004304
2	D06	UMP-CMPK	51727	KIN	NM_016308
2	D07	SPEG	10290	KIN	NM_005876
2	D08	CHKA	1119	KIN	NM_212469
2	D09	TP53RK	112858	KIN	NM_033550
2	D10	WNK4	65266	KIN	NM_032387
2	D11	EF5	1946	KIN	NM_001962
2	D12	RPS6KA1	6195	KIN	NM_001006665
2	D13	MAPK13	5603	KIN	NM_002754
2	D14	IHPK3	117283	KIN	NM_054111
2	D15	TRIB2	28951	KIN	NM_021643
2	D16	BMX	660	KIN	NM_001721
2	D17	DGKH	160851	KIN	NM_152910
2	D18	CLK4	57396	KIN	NM_020666
2	D19	FRK	2444	KIN	NM_002031
2	D20	PAK2	5062	KIN	NM_002577
2	D21	PIK3CB	5291	KIN	NM_006219
2	D22	LOC390226	390226	KIN	XM_001134406
2	D23				
2	D24				
2	E01				
2	E02				
2	E03	ITPK1	3705	KIN	NM_014216
2	E04	STK17A	9263	KIN	NM_004760
2	E05	ILK-2	55522	KIN	AJ277481
2	E06	TEX14	56155	KIN	NM_031272
2	E07	EPHA2	1969	KIN	NM_004431
2	E08	MAPKAPK2	9261	KIN	NM_004759
2	E09	PHKG1	5260	KIN	NM_006213
2	E10	LTK	4058	KIN	NM_206961
2	E11	FUK	197258	KIN	NM_145059
2	E12	CASK	8573	KIN	NM_003688
2	E13	AK3	205	KIN	NM_013410
2	E14	DYRK1B	9149	KIN	NM_004714
2	E15	CSNK2A2	1459	KIN	NM_001896
2	E16	SBK1	388228	KIN	NM_001024401
2	E17	VRK2	7444	KIN	NM_006296
2	E18	PCTK1	5127	KIN	NM_006201
2	E19	KALRN	8997	KIN	NM_003947
2	E20	MAP3K4	4216	KIN	NM_006724
2	E21	ARAF1	369	KIN	NM_001654
2	E22	STK38L	23012	KIN	NM_015000
2	E23				
2	E24				
2	F01				
2	F02				
2	F03	KCNH2	3757	KIN	NM_172056
2	F04	CSNK1A1	1452	KIN	NM_001892
2	F05	CDKL1	8814	KIN	NM_004196
2	F06	NME2	4831	KIN	NM_001018139
2	F07	NTRK2	4915	KIN	NM_001018064
2	F08	MAK	4117	KIN	NM_005906
2	F09	AATK	9625	KIN	NM_001080395
2	F10	PIK3CD	5293	KIN	NM_005026
2	F11	PRKCG	5582	KIN	NM_002739
2	F12	MAP3K6	9064	KIN	NM_004672
2	F13	STK38	11329	KIN	NM_007271
2	F14	BRDT	676	KIN	NM_001726
2	F15	PMVK	10654	KIN	NM_006556
2	F16	EIF2AK4	440275	KIN	NM_001013703
2	F17	EPHA1	2041	KIN	NM_005232
2	F18	NME6	10201	KIN	NM_005793
2	F19	RAF1	5894	KIN	NM_002880
2	F20	DYRK1A	1859	KIN	NM_130438
2	F21	PRKCSH	5589	KIN	NM_002743
2	F22	CAMK4	814	KIN	NM_001744
2	F23				
2	F24				
2	G01				
2	G02				
2	G03	BCR	613	KIN	NM_021574
2	G04	MGC4796	83931	KIN	NM_032017
2	G05	DCK	1633	KIN	NM_000788
2	G06	PKIA	5569	KIN	NM_006823
2	G07	MGC16169	93627	KIN	NM_033115
2	G08	RBKS	64080	KIN	NM_022128
2	G09	STK22D	83942	KIN	NM_032028
2	G10	PHKA1	5255	KIN	NM_002637
2	G11	SRP72	6731	KIN	NM_006947
2	G12	ERN1	2081	KIN	NM_001433
2	G13	DGKI	9162	KIN	NM_004717
2	G14	STYK1	55359	KIN	NM_018423
2	G15	CSK	1445	KIN	NM_004383
2	G16	ARK5	9891	KIN	NM_014840
2	G17	IKBKAP	8518	KIN	NM_003640
2	G18	PIP5K1B	8395	KIN	NM_003558
2	G19	ADRBK2	157	KIN	NM_005160
2	G20	DGUOK	1716	KIN	NM_080918
2	G21	ICK	22858	KIN	NM_014920
2	G22	PANK3	79646	KIN	NM_024594
2	G23				
2	G24				
2	H01				
2	H02				
2	H03	PRKCD	5580	KIN	NM_006254
2	H04	JIK	51347	KIN	NM_016281
2	H05	ATR	545	KIN	NM_001184
2	H06	PKLR	5313	KIN	NM_181871
2	H07	CAMK2A	815	KIN	NM_015981
2	H08	PAK7	57144	KIN	NM_020341
2	H09	KDR	3791	KIN	NM_002253
2	H10	VRK1	7443	KIN	NM_003384
2	H11	TAF1	6872	KIN	NM_004606
2	H12	EPHA6	285220	KIN	NM_173655
2	H13	CDK11	23097	KIN	NM_015076
2	H14	GUCY2C	2984	KIN	NM_004963
2	H15	SRK	81788	KIN	NM_030952
2	H16	PNCK	139728	KIN	NM_001039582
2	H17	SCYL1	57410	KIN	NM_001048218
2	H18	VRK3	51231	KIN	NM_001025778
2	H19	PRKAB2	5565	KIN	NM_005399
2	H20	PDGFRA	5156	KIN	NM_006206
2	H21	MGC4796	83931	KIN	NM_032017
2	H22	DDR1	780	KIN	NM_013994
2	H23				
2	H24				
2	I01				
2	I02				
2	I03	ADCK2	90956	KIN	NM_052853
2	I04	SRPK2	6733	KIN	NM_182691
2	I05	PI4K2B	55300	KIN	NM_018323
2	I06	CLK2	1196	KIN	NM_003993
2	I07	TRIB3	57761	KIN	NM_021158
2	I08	TGFBR2	7048	KIN	NM_003242
2	I09	FLJ23074	80122	KIN	NM_001018046
2	I10	STK22B	23617	KIN	NM_053006
2	I11	HIPK2	28996	KIN	NM_022740
2	I12	GAK	2580	KIN	NM_005255
2	I13	PRPS1	5631	KIN	NM_002764
2	I14	RPS6KA2	6196	KIN	NM_001006932
2	I15	CSNK1D	1453	KIN	NM_001893
2	I16	MAPK6	5597	KIN	NM_002748
2	I17	DYRK3	8444	KIN	NM_003582
2	I18	GRK7	131890	KIN	NM_139209
2	I19	TYK2	7297	KIN	NM_003331
2	I20	ADRBK1	156	KIN	NM_001619
2	I21	MYO3A	53904	KIN	NM_017433
2	I22	CDK10	8558	KIN	NM_052987
2	I23				
2	I24				
2	J01				
2	J02				
2	J03	STK32B	55351	KIN	NM_018401
2	J04	PTK9L	11344	KIN	NM_007284
2	J05	MAP3K7IP1	10454	KIN	NM_153497
2	J06	PIK3C2A	5286	KIN	NM_002645
2	J07	PRKR	5610	KIN	NM_002759
2	J08	STK32A	202374	KIN	NM_145001
2	J09	RIPK3	11035	KIN	NM_006871
2	J10	GTF2H1	2965	KIN	NM_005316
2	J11	ULK4	54986	KIN	NM_017886
2	J12	TOPK	55872	KIN	NM_018492
2	J13	SPHK2	56848	KIN	NM_020126
2	J14	ZAK	51776	KIN	NM_016653
2	J15	TESK1	7016	KIN	NM_006285
2	J16	PDK4	5166	KIN	NM_002612
2	J17	CSNK2B	1460	KIN	NM_001320
2	J18	CHUK	1147	KIN	NM_001278
2	J19	ERBB4	2066	KIN	NM_001042599
2	J20	TPK1	27010	KIN	NM_001042482
2	J21	PFKFB4	5210	KIN	NM_004567
2	J22	C14ORF20	283629	KIN	NM_174944
2	J23				
2	J24				
2	K01				
2	K02				
2	K03	SPHK1	8877	KIN	NM_021972
2	K04	CDKN1A	1026	KIN	NM_000389
2	K05	ASK	10926	KIN	NM_006716
2	K06	PANK2	80025	KIN	NM_024960
2	K07	PDGFRB	5159	KIN	NM_002609
2	K08	EPHA3	2042	KIN	NM_182644
2	K09	FGR	2268	KIN	NM_001042729
2	K10	PYCS	5832	KIN	NM_001017423
2	K11	ROR1	4919	KIN	NM_001083592
2	K12	IHPK1	9807	KIN	NM_001006115
2	K13	CRK7	51755	KIN	NM_015083
2	K14	BRD4	23476	KIN	NM_014299
2	K15	CDKN1B	1027	KIN	NM_004064
2	K16	TEC	7006	KIN	NM_003215
2	K17	PACSIN1	29993	KIN	NM_020804
2	K18	FRDA	2395	KIN	NM_000144
2	K19	DAPK3	1613	KIN	NM_001348
2	K20	PRPS2	5634	KIN	NM_002765
2	K21	PIK3R1	5295	KIN	NM_181504
2	K22	AK5	26289	KIN	NM_012093
2	K23				
2	K24				
2	L01				
2	L02				
2	L03	PKMYT1	9088	KIN	NM_004203
2	L04	PIM3	415116	KIN	NM_001001852
2	L05	PACE-1	57147	KIN	NM_020423
2	L06	LMTK3	114783	KIN	NM_001080434
2	L07	IKBKB	3551	KIN	NM_001556
2	L08	CHEK2	11200	KIN	NM_145862
2	L09	MAP3K13	9175	KIN	NM_004721
2	L10	JAK1	3716	KIN	NM_002227
2	L11	CAMK1D	57118	KIN	NM_020397
2	L12	EIF2AK3	9451	KIN	NM_004836
2	L13	IRAK3	11213	KIN	NM_007199
2	L14	PIK3C3	5289	KIN	NM_002647
2	L15	MOS	4342	KIN	NM_005372
2	L16	ROCK2	9475	KIN	NM_004850
2	L17	PIP5K2B	8396	KIN	NM_003559
2	L18	PIK3C2B	5287	KIN	NM_002646
2	L19	STK4	6789	KIN	NM_006282
2	L20	SGK	6446	KIN	NM_005627
2	L21	BAIAP1	9223	KIN	NM_004742
2	L22	CLK3	1198	KIN	NM_001292
2	L23				
2	L24				
2	M01				
2	M02				
